Sex,Length,Diameter,Height,Shucked_weight,Viscera_weight,Rings
M,0.8090221,0.63726187,0.81790304,1.4695842,0.7243431,13.0
I,0.62288946,0.495,0.175,0.482691,0.2559953,15.629649
F,0.6914379,0.5375881,0.18791474,0.71802264,0.37249017,11.0
I,0.29416588,0.22123103,0.07,0.05249146,0.027502293,6.0
M,0.7210194,0.56195986,0.19770609,0.9181229,0.39797047,11.53093
I,0.427403,0.325,0.103677504,0.15296112,0.07260666,9.0
M,0.11550466,0.09180595,0.0083229225,0.0028103485,0.00058054965,2.5753014
M,0.7862902,0.23070775,1.1214691,0.28404188,0.11685191,9.0
M,0.7045354,0.5195363,0.5897335,0.26235023,0.27187222,10.0
M,0.7136549,0.5525775,0.19396983,0.84345144,0.41075104,11.0
F,0.62211066,0.49,0.17,0.4887608,0.26263785,12.0
I,0.1130315,0.09143532,0.0019518369,0.0026573094,0.0005433569,2.3119366
M,0.62676764,0.495,0.17,0.5421203,0.26793474,10.0
F,0.71360415,0.5517923,0.1909616,0.9782298,0.41251403,10.0
I,0.27080855,0.25783175,0.08,0.16174702,0.03235016,5.0
F,0.6654164,0.525,0.19,0.610493,0.32765695,15.0
M,0.7981472,0.6218247,0.2979671,1.4157157,0.67194575,12.0
F,0.36689702,0.09,0.1611238,0.14853166,0.03998503,7.024656
M,0.37493762,0.28,0.09460349,0.12354815,0.05543395,6.0
I,0.28405124,0.21221857,0.07,0.04578065,0.024521107,6.0
M,0.8028854,0.6294005,0.56110066,1.4321209,0.6918146,13.0
F,0.4531172,0.345,0.11014308,0.21720496,0.09879838,6.0
I,0.6218214,0.4975047,0.175,0.48023328,0.26098368,18.376993
M,0.6238066,0.48829457,0.16582035,0.51765716,0.2613317,10.0
F,0.61278415,0.4811212,0.165,0.47447193,0.25192302,12.0
F,0.30644903,0.2394698,0.08,0.04439514,0.036398407,9.0
F,0.6608365,0.52221864,0.18,0.629226,0.32128513,11.0
M,0.525,0.45,0.125,0.41582575,0.19610985,10.0
F,0.555,0.435,0.15,0.377363,0.19457747,9.0
F,0.4756835,0.375,0.13,0.2078621,0.12286607,12.842643
M,0.66763294,0.525,0.185,0.66923046,0.33403346,12.0
I,0.475,0.362056,0.135,0.20105618,0.11395264,5.736714
F,0.55490535,0.43540007,0.15,0.34022203,0.18656823,13.0
F,0.62,0.485,0.175,0.47886074,0.26282024,16.606318
F,0.58868384,0.46,0.155,0.43271607,0.22223976,10.0
I,0.11082097,0.09023997,0.0005176843,0.00253963,0.00050423393,2.0600061
F,0.44887716,0.345,0.11009993,0.19251673,0.09559216,8.0
F,0.617113,0.485,0.18,0.4105437,0.24232419,12.0
F,0.4256235,0.325,0.107701056,0.15214626,0.08332119,9.0
M,0.41819996,0.31961045,0.105,0.14367814,0.077547066,9.0
M,0.81172144,0.64200175,0.95991415,1.4792022,0.7398485,13.0
I,0.5581554,0.435,0.14306358,0.35312882,0.17086579,9.0
F,0.34999824,0.27529582,0.09,0.072694935,0.051247578,10.0
F,0.495,0.38,0.125,0.2509373,0.12887192,9.0
I,0.41806775,0.31725585,0.1,0.15001406,0.06814593,8.0
F,0.28450778,0.22342055,0.07770059,0.034110215,0.031785388,10.0
F,0.80917263,0.63685495,0.60235035,1.4588156,0.7224645,12.0
I,0.615,0.48665583,0.17,0.4670323,0.24492031,15.0
F,0.3114478,0.241164,0.08,0.050172158,0.036440507,8.0
F,0.8146184,0.6487522,1.0893879,1.4870574,0.75827706,15.0
M,0.11063208,0.09004248,0.00092438044,0.002518846,0.0005010135,2.4513657
I,0.11010108,0.090010434,4.9275317e-05,0.0025075423,0.00050011487,2.0195436
F,0.57,0.4487401,0.15270261,0.3739442,0.19925301,11.0
I,0.44,0.2543316,0.015386757,0.0077336705,0.034178186,7.0
F,0.56827736,0.44,0.15,0.3746741,0.19652049,10.0
I,0.11002072,0.09000126,7.792842e-06,0.0025021315,0.0005,2.0054123
F,0.7563475,0.58244103,0.20747948,1.0287191,0.48234966,12.0
I,0.58,0.46,0.155,0.38953415,0.20483474,14.0
F,0.70329404,0.533802,0.175,0.859861,0.40863046,11.0
F,0.81219035,0.6430491,0.8902114,1.4713184,0.7418886,13.041478
F,0.59142613,0.465,0.16,0.4286349,0.22701824,11.0
F,0.48,0.45383656,0.16,0.38749328,0.0256278,11.0
I,0.11063826,0.090138316,0.0003665799,0.0025282085,0.00050229754,2.074241
M,0.7577626,0.5831653,0.21292542,1.1602262,0.49715328,13.0
M,0.52861995,0.41,0.14,0.29978368,0.15725647,11.746446
I,0.3847338,0.29326963,0.0937934,0.13597848,0.061686665,7.0
F,0.565,0.44,0.15,0.3791979,0.19582316,10.0
M,0.8122464,0.64313424,0.9025963,1.4784979,0.73579824,13.0
M,0.14603545,0.110242866,0.03848628,0.0043213936,0.0026723589,6.4014826
F,0.79023063,0.613186,0.21748973,1.2459741,0.62310356,13.0
M,0.7581605,0.58463854,0.21631894,1.0856782,0.48894906,14.932289
I,0.13122521,0.100237966,0.012711269,0.004226342,0.0016369943,4.0
M,0.58,0.455,0.155,0.4086623,0.20837754,11.0
F,0.28327218,0.21296524,0.07097586,0.042639606,0.026912041,6.0
F,0.465,0.36,0.1458551,0.24548678,0.14169335,9.0
I,0.11142543,0.09050443,0.00085086457,0.0025627357,0.000509401,2.1708975
F,0.59,0.46119043,0.155,0.43562597,0.22442141,10.0
M,0.575,0.45,0.16,0.37826756,0.22292542,13.0
F,0.6376749,0.50159615,0.175,0.55232346,0.28765532,11.0
F,0.81493425,0.64975417,1.1003376,1.4879814,0.75966686,15.0
I,0.27288446,0.20064114,0.06593802,0.044868696,0.021713467,4.030438
M,0.65871483,0.515,0.18,0.6424542,0.31504735,11.0
I,0.42632017,0.33765793,0.1,0.16827032,0.08385591,7.0
I,0.5548513,0.40662447,0.155,0.31309703,0.15593931,11.0
M,0.54,0.495,0.165,0.3970246,0.15137461,10.0
I,0.7786275,0.20594287,0.17,0.3425731,0.2641251,11.0
M,0.6818814,0.56094474,0.20906508,0.6620535,0.37040442,13.469601
F,0.52963984,0.3372158,0.16,0.39800143,0.22607173,9.0
I,0.36825264,0.2773142,0.085,0.08265895,0.04154634,8.0
F,0.5829203,0.44,0.19,0.2348136,0.24643233,9.0
M,0.81443334,0.6478146,1.0923326,1.4876128,0.7570293,13.679058
I,0.46527657,0.3577683,0.115,0.20609558,0.097217225,9.0
I,0.53,0.584217,0.195,0.33142936,0.13512391,9.0
M,0.625,0.485,0.165,0.5499532,0.28386983,9.0
F,0.812036,0.64249223,0.86484134,1.4722835,0.74018115,13.0
M,0.1329575,0.10299785,0.026592437,0.0035320872,0.0016894097,6.0
F,0.6734844,0.525,0.18342051,0.6719851,0.34438393,11.0
M,0.11679237,0.09268926,0.010146901,0.0029722888,0.00062987197,2.3259056
M,0.58,0.455,0.155,0.4067474,0.2110649,10.0
M,0.5847871,0.4579884,0.155,0.42568427,0.21362366,10.0
M,0.7411263,0.58029103,0.210951,1.1005707,0.4778673,12.0
F,0.72467774,0.5651237,0.195,0.91612667,0.44116,11.0
I,0.12031944,0.095323674,0.006773641,0.0033145272,0.0009404812,2.7254226
F,0.6173302,0.48655456,0.17261595,0.47192797,0.2583792,14.0
I,0.19437777,0.13963763,0.043356676,0.015045275,0.00786828,4.0
I,0.19530989,0.1407031,0.043593578,0.014694826,0.007928372,4.0
M,0.43186182,0.36366153,0.135,0.2646582,0.09189854,9.0
F,0.41181853,0.31718913,0.105,0.13089459,0.07532336,10.0
I,0.11011746,0.09001431,6.247929e-05,0.0025090661,0.0005001706,2.0166948
M,0.5325067,0.41,0.135,0.3206391,0.15842725,9.0
M,0.62386304,0.475,0.17,0.50495774,0.25054413,12.0
F,0.5068606,0.405,0.14,0.27533752,0.21693887,11.0
I,0.11012225,0.090014115,6.2619045e-05,0.002509007,0.00050016766,2.0191042
F,0.5800445,0.46,0.165,0.44397834,0.22458367,12.056185
F,0.61,0.33436513,0.19101624,0.23522505,0.03944204,16.856535
I,0.37237182,0.525,0.09498314,0.11109847,0.09271482,8.0
F,0.595,0.4722756,0.16,0.4399723,0.23232077,11.0
F,0.80393404,0.6299705,0.22884747,1.400208,0.69328886,13.0
F,0.65937793,0.52496827,0.18919289,0.5814836,0.31466204,16.135466
I,0.110133395,0.09001568,6.8550595e-05,0.0025094114,0.0005001895,2.0208766
F,0.38129327,0.2972066,0.1,0.10014021,0.06265749,10.0
F,0.81463164,0.6488296,1.0954677,1.4870626,0.7587552,15.0
I,0.13147745,0.10098763,0.013644294,0.0046409788,0.0017438194,2.822251
M,0.6,0.475,0.165,0.44673657,0.23616157,13.0
M,0.63,0.49631295,0.17,0.5361113,0.27108446,11.0
M,0.515,0.39871866,0.13184692,0.28564325,0.14363207,10.0
M,0.595,0.47,0.16,0.4422165,0.22619395,11.0
M,0.66862994,0.525,0.185,0.67392874,0.33605078,11.654102
M,0.11028264,0.09001434,0.00034518816,0.0025104163,0.00050028134,2.1722703
I,0.36871824,0.42,0.14,0.21353067,0.12620541,8.0
F,0.59863096,0.47192836,0.165,0.42776552,0.23208502,16.0
F,0.5032897,0.38672042,0.13,0.26536146,0.13671196,9.0
F,0.7188937,0.505,0.135,0.9832636,0.20558037,2.7320275
M,0.6,0.46,0.14,0.5069387,0.20399001,9.0
F,0.7381362,0.5814513,0.20944181,0.9022385,0.47061712,16.0
M,0.81299895,0.6441996,1.024284,1.4843603,0.7481306,13.0
I,0.1416209,0.1061865,0.019347101,0.0059712008,0.002520191,3.0899727
F,0.64,0.505,0.17,0.5846998,0.29318532,9.0
M,0.6,0.47010213,0.16,0.46576446,0.23294465,10.0
F,0.38845405,0.6149468,0.06692944,0.28806105,0.16721186,13.308128
F,0.1891699,0.24105176,0.06762114,0.032090228,0.1873779,3.119925
F,0.5187264,0.4,0.135,0.28247455,0.1493369,10.293986
M,0.615,0.29,0.15,0.32662156,0.19543095,5.697348
F,0.60445046,0.475,0.165,0.46111748,0.24225168,11.0
M,0.81233174,0.38,0.18,0.10138216,0.08337991,26.936281
F,0.2748941,0.19823135,0.07425341,0.039603636,0.032644376,6.0
I,0.40016848,0.26955128,0.061455883,0.455983,0.10143383,9.0
F,0.465,0.355,0.12,0.20719782,0.10645858,9.0
M,0.80037564,0.6279338,0.6824764,1.4034492,0.69691014,14.0
I,0.47395536,0.35,0.11,0.21781439,0.08010632,10.0
F,0.44,0.3359966,0.11,0.16884813,0.08987499,9.0
F,0.6996066,0.55,0.19167873,0.7302726,0.384752,12.0
M,0.17234112,0.124644086,0.044443276,0.0073800925,0.004815002,6.0
F,0.80492413,0.6331872,0.40338215,1.3860002,0.69606346,14.0
I,0.20066531,0.14492813,0.045174897,0.016199803,0.008721666,4.0
M,0.5883275,0.475,0.06227595,0.24531217,0.10430165,11.0
M,0.63,0.49685854,0.17,0.5398236,0.2717782,11.0
F,0.73098737,0.57028824,0.19767937,0.98033637,0.45540464,11.0
F,0.6,0.4714831,0.16,0.45630655,0.23852126,10.0
F,0.3481251,0.2716343,0.09,0.07248455,0.048479646,9.0
I,0.4207134,0.319222,0.1,0.15971628,0.07163063,7.0
F,0.5231381,0.40091676,0.135,0.29662913,0.15335877,10.0
M,0.42491627,0.31788543,0.10617352,0.16739812,0.08190892,8.0
F,0.75105,0.5804393,0.2031011,1.0733365,0.48158932,11.0
I,0.3492536,0.26677644,0.08444189,0.0785407,0.040231645,8.0
F,0.7998378,0.62309414,0.2217289,1.3821678,0.67777187,12.0
M,0.15209438,0.11409306,0.041179154,0.004500348,0.003232549,7.0
F,0.7230043,0.5638332,0.19594908,0.8683744,0.43094584,11.0
M,0.55,0.4,0.16263369,0.5067357,0.22145896,9.0
F,0.5459327,0.43565407,0.15,0.32507744,0.17561305,15.40724
F,0.73347956,0.573527,0.2,0.94332796,0.45921677,11.0
M,0.6039213,0.475,0.16,0.4763962,0.2387382,10.0
F,0.8134206,0.6451315,0.9923761,1.4824803,0.75064594,13.0
I,0.3622702,0.27317363,0.08554371,0.10040143,0.04524541,6.0
M,0.8139616,0.6464165,1.0714242,1.4867984,0.7541635,13.0
I,0.4942409,0.38,0.12,0.25120038,0.11392963,8.0
F,0.575,0.45,0.15,0.40522563,0.20955777,10.0
I,0.110774115,0.09019114,0.0004549611,0.002534129,0.00050327706,2.0819597
F,0.7213471,0.5612547,0.1968822,0.8702924,0.42710334,11.0
M,0.57,0.4464934,0.15,0.3924612,0.19599964,10.0
M,0.7238957,0.5645534,0.2,0.98384804,0.43788254,11.0
I,0.26491436,0.19474137,0.0634682,0.03571426,0.019222226,6.0
M,0.79466045,0.61741316,0.22414574,1.3952326,0.65623534,12.0
F,0.53,0.405,0.147623,0.29737824,0.16609634,9.0
M,0.645,0.5076859,0.175,0.6015058,0.29588643,10.0
M,0.8006481,0.62587327,0.44345927,1.423204,0.68242013,13.0
F,0.2798599,0.21778543,0.07459704,0.03143051,0.029605825,9.0
M,0.45856252,0.355,0.12,0.18557324,0.10490406,11.0
M,0.6892597,0.53227437,0.19,0.7967756,0.3927129,10.731236
M,0.52509177,0.40261748,0.13,0.31613472,0.14892542,8.0
F,0.5632939,0.435,0.145,0.3861191,0.18373233,9.0
F,0.20760721,0.44,0.17,0.71354073,0.75280136,2.1305149
I,0.44266695,0.35393983,0.11,0.21379672,0.08590552,7.0
I,0.18636996,0.13311253,0.04116519,0.011654473,0.006363211,4.0
I,0.52998894,0.4060564,0.135,0.29870126,0.1421655,10.0
F,0.57,0.44683266,0.15,0.39587697,0.201116,9.0
M,0.63,0.5014872,0.18,0.51285124,0.2752294,17.0
I,0.6352179,0.51,0.18522012,0.52142084,0.2841468,18.470867
F,0.625,0.49185482,0.17,0.51803935,0.26937526,10.0
M,0.33279437,0.2486638,0.08,0.094131984,0.036219623,4.6503186
F,0.81405056,0.6465276,1.0360001,1.4859983,0.7543532,13.0
M,0.64077616,0.5059208,0.175,0.57489806,0.29160696,12.0
F,0.6134809,0.475,0.15,0.47824484,0.2634788,8.0
I,0.45459718,0.3912131,0.14,0.23443715,0.14978202,10.0
M,0.21643206,0.16019979,0.05983147,0.012202726,0.012050643,8.0
I,0.1109924,0.09029691,0.00060265476,0.002545536,0.00050530315,2.0891547
M,0.63356316,0.5,0.175,0.54531974,0.27532905,11.0
I,0.7261936,0.25550437,0.09361672,0.1052504,0.08335678,9.0
M,0.6570111,0.5156656,0.18299216,0.6124262,0.31018224,12.293616
M,0.28146702,0.21171221,0.0739569,0.033272423,0.026731651,9.0
F,0.66,0.52351254,0.18614526,0.5909122,0.31600958,14.635964
F,0.8144309,0.64771813,1.0624791,1.4872535,0.7567059,13.510674
M,0.45207936,0.345,0.11169039,0.19395645,0.09613508,9.0
I,0.2790644,0.20682128,0.06883979,0.040751383,0.022374509,6.0
M,0.505,0.39,0.12903725,0.27290407,0.13555126,9.47744
M,0.6964654,0.5400596,0.19,0.7939262,0.38165697,10.0
I,0.27545202,0.2035121,0.06703872,0.041683648,0.021793038,5.6795793
F,0.6303573,0.501602,0.17045422,0.5382833,0.3002943,11.0
F,0.62,0.49,0.17352803,0.48252144,0.2620203,13.0
I,0.11396912,0.0920029,0.0026930508,0.0027522987,0.0005826957,2.2354293
F,0.515,0.3960038,0.135,0.27643192,0.14525147,10.0
I,0.11025924,0.09003693,0.00013872828,0.0025140655,0.00050051254,2.0384896
F,0.6789378,0.52781016,0.18322894,0.6905953,0.36119875,10.197326
M,0.6633841,0.5203628,0.185,0.56433266,0.3045117,14.430408
F,0.48219168,0.37498224,0.125,0.23671748,0.12456367,10.0
M,0.51722854,0.395,0.125,0.3107305,0.14884093,9.0
I,0.4061555,0.3064958,0.1,0.1354256,0.06259346,8.0
M,0.28066915,0.20872982,0.072210886,0.037294846,0.024820032,7.057285
F,0.37395272,0.29,0.09674918,0.09433168,0.05993258,9.456792
F,0.8112243,0.6406696,0.7836916,1.46915,0.7347191,13.0
I,0.110079296,0.090008095,3.5856265e-05,0.002506498,0.0005000792,2.0157235
F,0.5984317,0.28,0.14,0.1994544,0.14238743,12.0
F,0.8083626,0.6363988,0.5752178,1.4414532,0.7198531,13.0
F,0.62405443,0.48990342,0.17,0.4975939,0.26332152,11.0
M,0.7226914,0.568103,0.20623234,0.8690011,0.42974198,15.742672
F,0.79455143,0.6148015,0.21652627,1.3536146,0.6516057,12.0
I,0.505,0.39,0.125,0.26132333,0.124500975,9.0
F,0.3706364,0.2843982,0.09494196,0.09396987,0.0570932,9.0
M,0.8148024,0.64923435,1.1104671,1.4879532,0.7589257,14.0
I,0.13123496,0.100690894,0.013288026,0.0044635446,0.001706246,3.3691492
F,0.80404365,0.6300957,0.24779055,1.4010916,0.6949275,13.0
F,0.585,0.47,0.17019954,0.41330874,0.22727385,15.0
I,0.45006537,0.345,0.11,0.18598689,0.08695489,8.0
M,0.8035156,0.63219523,0.66056836,1.4215878,0.6927147,14.0
M,0.61,0.475,0.16,0.49119985,0.24139087,9.0
M,0.625,0.49440137,0.17,0.5170651,0.26526138,12.0
I,0.11000169,0.09,0.0,0.0025003608,0.0005,2.0010715
M,0.7393474,0.578941,0.20900887,1.0757746,0.4751905,12.0
F,0.6830823,0.5323727,0.185,0.70562524,0.36517668,10.0
F,0.80238384,0.63037235,0.27813098,1.3526924,0.6823398,14.0
F,0.38604754,0.3,0.1,0.10929181,0.0634568,9.0
I,0.465,0.355,0.115,0.20678245,0.0962459,8.0
F,0.475,0.36317033,0.12,0.23190215,0.11467928,9.0
I,0.44038156,0.3393864,0.10609812,0.17391379,0.083300345,8.0
I,0.11190839,0.09082022,0.0011990295,0.0025934768,0.0005180131,2.1598434
F,0.68383735,0.53344697,0.18616301,0.69699734,0.36431623,11.0
I,0.5571603,0.4702927,0.155,0.30062807,0.17513536,10.0
I,0.11,0.09,0.0,0.0025001855,0.0005,2.0005844
I,0.118065104,0.09415592,0.0054444494,0.0031360488,0.000800978,2.4092562
M,0.62,0.4855521,0.17,0.50286144,0.25504246,11.0
I,0.11163619,0.090666614,0.00081771,0.0025829538,0.00051158445,2.1507223
M,0.59478277,0.465,0.155,0.44650602,0.22369663,10.0
I,0.7355404,0.090005435,0.7563437,0.08128865,0.24876538,16.58068
M,0.11101654,0.09008948,0.0015338252,0.0025243822,0.0005021168,3.814451
M,0.36453676,0.2797646,0.0945834,0.080480464,0.05423198,10.0
I,0.30018932,0.22630036,0.07103362,0.05668877,0.029608607,6.0
M,0.11211222,0.09033457,0.0033040252,0.0025550018,0.0005095999,4.0
M,0.7204807,0.55933386,0.19825083,0.9468044,0.4263783,11.0
I,0.525,0.405,0.13126372,0.2929084,0.13931683,9.0
M,0.24808817,0.1839868,0.06708619,0.018865883,0.017740764,9.0
F,0.465,0.37,0.13,0.20353818,0.12018642,13.0
F,0.21099263,0.15010706,0.05161612,0.013261226,0.01080627,6.0
F,0.5675827,0.45,0.145,0.4088026,0.19010298,9.0
F,0.44,0.34961432,0.16,0.37383687,0.19971935,11.0
F,0.3981878,0.30085933,0.1,0.123565905,0.06656313,9.0
M,0.7603608,0.5889437,0.21875627,1.0672525,0.4992692,15.515698
I,0.49253964,0.38,0.12,0.24038911,0.11270198,9.0
F,0.4680502,0.36,0.12,0.20956154,0.111145675,10.0
F,0.6901055,0.3545346,0.19014597,0.44694296,0.24663992,26.898182
M,0.750091,0.5809328,0.21014112,1.1720694,0.4823015,12.0
I,0.110902734,0.09024988,0.0005408638,0.002540501,0.0005043927,2.0870655
M,0.79758006,0.6202658,0.23318721,1.4198804,0.67065287,12.0
M,0.63,0.48,0.17,0.51413167,0.25460646,12.0
I,0.4529636,0.345,0.11,0.19117792,0.0887911,8.0
I,0.24630614,0.18085998,0.055357825,0.031007692,0.015451504,5.0
I,0.555,0.09155134,0.06404697,0.0039067036,0.058229093,11.0
M,0.49955502,0.385,0.13,0.2522103,0.13179399,11.0
F,0.8128241,0.6454144,1.0081527,1.4721894,0.7471844,15.0
M,0.12809995,0.09893479,0.021206498,0.0036990887,0.0012583194,4.0
F,0.62,0.485,0.165,0.5027278,0.2617951,10.0
I,0.11738069,0.17614238,0.0013451513,0.56126654,0.13159157,6.0
F,0.4171861,0.25762522,0.1399204,0.041874174,0.03985214,7.0
I,0.6384448,0.51,0.1854224,0.52741206,0.28686407,18.091211
M,0.64,0.50818,0.18,0.55657446,0.2901325,14.0
F,0.4525685,0.21696615,0.115,0.14466688,0.19925937,11.0
F,0.80459976,0.6299903,0.22499906,1.4184116,0.6979345,12.0
F,0.4712521,0.36,0.12,0.21956061,0.11137821,9.0
M,0.625,0.50307786,0.185,0.4905188,0.27459544,20.954454
M,0.223961,0.16557805,0.061627883,0.013008647,0.013255417,9.0
F,0.6036569,0.475,0.165,0.45749748,0.24245706,11.0
F,0.36214718,0.2764886,0.09,0.08848389,0.050432704,8.0
F,0.56931186,0.4211813,0.165,0.49140695,0.29670474,9.0
M,0.814679,0.6487466,1.1071199,1.4878737,0.75861394,14.0
M,0.7894014,0.6105791,0.22185399,1.3643261,0.6319555,12.0
I,0.11,0.09,0.0,0.002500255,0.0005,2.0007417
M,0.6241286,0.5,0.175,0.4907135,0.26218075,17.516497
