workclass,fnlwgt,education,education.num,marital.status,relationship,race,sex,capital.loss,hours.per.week,income
 Private,507820.2, HS-grad,9.0, Never-married, Own-child, White, Female,0.0,3.3391967, <=50K
 Private,27384.762, 10th,6.0, Married-civ-spouse, Husband, White, Male,0.0,99.0, <=50K
 Federal-gov,454572.12, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,213137.9, Assoc-voc,9.0, Never-married, Other-relative, White, Male,0.0,40.0, <=50K
 Private,404773.28, HS-grad,9.0, Never-married, Unmarried, Black, Female,0.0,40.0, <=50K
 Private,33475.13, HS-grad,9.0, Divorced, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,417658.5, Masters,14.0, Never-married, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,60212.38, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,97.528145, <=50K
 Private,189408.02, 7th-8th,3.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,296337.56, 11th,7.0, Never-married, Unmarried, White, Female,0.0,40.0, <=50K
 Private,22492.906, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,113070.73, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,571743.94, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,98.58815, <=50K
 Private,165801.2, 7th-8th,3.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,434948.72, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,187849.42, Masters,14.0, Married-civ-spouse, Husband, White, Male,0.0,98.008354, <=50K
 Private,24420.455, Assoc-acdm,12.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,314175.44, 12th,9.0, Married-civ-spouse, Husband, White, Male,0.0,60.0, <=50K
 Private,132227.2, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Local-gov,286697.25, Masters,14.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,284685.88, HS-grad,9.0, Never-married, Other-relative, White, Male,0.0,40.0, <=50K
 Private,23890.957, HS-grad,9.0, Never-married, Not-in-family, Black, Female,0.0,40.0, <=50K
 ?,139664.8, Prof-school,15.0, Never-married, Not-in-family, White, Male,0.0,40.0, <=50K
 Local-gov,201486.9, Masters,14.0, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,0.0,40.0, <=50K
 Private,23666.16, HS-grad,9.0, Never-married, Unmarried, White, Male,0.0,40.0, <=50K
 Private,199146.52, Some-college,10.0, Widowed, Not-in-family, Black, Female,0.0,40.0, <=50K
 Self-emp-not-inc,14470.095, Some-college,10.0, Never-married, Not-in-family, White, Female,0.0,40.0, <=50K
 State-gov,313506.16, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,407773.12, Some-college,10.0, Divorced, Not-in-family, White, Female,0.0,2.86852, <=50K
 State-gov,278247.2, Assoc-voc,11.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Local-gov,27902.53, HS-grad,9.0, Married-civ-spouse, Wife, White, Female,0.0,40.0, <=50K
 Local-gov,220038.03, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,114237.86, Some-college,10.0, Never-married, Other-relative, White, Male,0.0,52.37294, <=50K
 Private,126022.58, HS-grad,9.0, Never-married, Own-child, Asian-Pac-Islander, Male,0.0,40.0, <=50K
 Private,260019.92, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,300206.6, Masters,14.0, Never-married, Not-in-family, White, Female,0.0,99.0, <=50K
 Private,37185.508, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,586691.8, 10th,6.0, Never-married, Not-in-family, Black, Male,0.0,54.41317, <=50K
 Local-gov,186744.39, Masters,14.0, Married-civ-spouse, Husband, White, Male,0.0,70.0, <=50K
 Self-emp-inc,362229.2, HS-grad,9.0, Never-married, Not-in-family, White, Male,0.0,99.0, <=50K
 Private,20922.725, Some-college,10.0, Divorced, Own-child, White, Male,0.0,40.0, <=50K
 Private,116632.41, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,345317.3, HS-grad,9.0, Never-married, Not-in-family, White, Female,0.0,2.4424274, <=50K
 Self-emp-not-inc,441746.2, Bachelors,13.0, Never-married, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,70807.96, HS-grad,9.0, Married-civ-spouse, Wife, White, Female,0.0,40.0, >50K
 ?,42097.72, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,1.1274241, <=50K
 Private,257732.06, Assoc-acdm,12.0, Married-civ-spouse, Wife, White, Female,0.0,40.0, <=50K
 Private,214709.06, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,21956.184, HS-grad,9.0, Never-married, Own-child, Asian-Pac-Islander, Male,0.0,40.0, <=50K
 Private,691669.8, HS-grad,9.0, Divorced, Unmarried, White, Male,0.0,40.0, <=50K
 Local-gov,210830.94, Bachelors,13.0, Married-civ-spouse, Wife, Black, Female,0.0,40.0, <=50K
 Private,302962.62, Assoc-acdm,12.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,304057.9, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,24063.57, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,99.0, <=50K
 Private,227808.27, HS-grad,9.0, Divorced, Own-child, White, Female,0.0,4.275384, <=50K
 Private,24250.088, Some-college,10.0, Never-married, Unmarried, White, Male,0.0,99.0, <=50K
 Private,111383.67, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,113737.74, 7th-8th,2.603471, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 State-gov,215182.73, Some-college,10.0, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,0.0,15.0, <=50K
 Private,33081.98, Some-college,10.0, Divorced, Not-in-family, White, Male,0.0,40.0, <=50K
 Local-gov,32878.082, HS-grad,9.0, Divorced, Own-child, White, Female,0.0,40.0, <=50K
 ?,39687.38, Some-college,10.0, Never-married, Own-child, White, Male,0.0,40.0, <=50K
 Private,174727.23, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,95281.91, HS-grad,9.0, Never-married, Not-in-family, White, Male,0.0,99.0, >50K
 Private,437523.22, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,234053.58, HS-grad,9.0, Married-civ-spouse, Wife, White, Female,0.0,40.0, <=50K
 Private,116975.81, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,288246.38, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,237982.78, Some-college,10.0, Never-married, Unmarried, White, Female,0.0,40.0, <=50K
 Private,145802.66, Assoc-acdm,12.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,197333.55, HS-grad,9.0, Married-civ-spouse, Wife, White, Female,0.0,40.0, <=50K
 Self-emp-inc,55781.207, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,93532.74, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,99.0, >50K
 Private,119373.33, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,99.0, >50K
 Private,27007.082, Bachelors,13.0, Never-married, Unmarried, White, Male,0.0,40.0, <=50K
 Private,228730.27, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,336473.4, Some-college,10.0, Never-married, Own-child, White, Male,0.0,40.0, <=50K
 Private,97518.94, Masters,14.0, Widowed, Not-in-family, White, Female,0.0,80.0, <=50K
 Private,188604.44, HS-grad,9.0, Married-civ-spouse, Wife, White, Female,0.0,40.0, >50K
 Private,283921.28, HS-grad,9.0, Never-married, Own-child, Black, Male,0.0,1.9759297, <=50K
 Private,140536.39, Prof-school,15.983745, Married-civ-spouse, Husband, White, Male,0.0,45.0, <=50K
 Private,26993.639, 11th,9.0, Married-civ-spouse, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,26403.414, HS-grad,9.0, Separated, Unmarried, White, Female,0.0,40.0, <=50K
 Private,138486.95, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,2.6268804, <=50K
 Local-gov,180656.78, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,455900.8, Masters,14.0, Never-married, Not-in-family, White, Male,0.0,40.0, >50K
 Private,23855.406, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Self-emp-not-inc,177372.53, Bachelors,13.0, Never-married, Not-in-family, White, Male,0.0,11.059502, <=50K
 Private,46273.332, Bachelors,13.0, Never-married, Own-child, White, Female,0.0,40.0, <=50K
 Private,592251.75, Some-college,10.0, Never-married, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,105524.99, HS-grad,9.0, Divorced, Own-child, White, Female,0.0,40.0, <=50K
 Private,282183.6, 11th,7.0, Never-married, Own-child, White, Female,0.0,40.0, <=50K
 Private,28195.816, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,10.0, <=50K
 Private,229938.14, Bachelors,13.0, Never-married, Own-child, White, Male,0.0,40.0, <=50K
 Private,422040.78, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,191131.12, HS-grad,9.0, Never-married, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,106250.625, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,275293.5, 11th,5.0, Married-civ-spouse, Own-child, White, Male,0.0,40.0, <=50K
 ?,113248.016, Prof-school,15.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,154307.89, Some-college,10.0, Divorced, Not-in-family, White, Male,0.0,40.0, >50K
 Private,215528.23, HS-grad,9.0, Separated, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,263100.62, Some-college,10.0, Divorced, Unmarried, Black, Female,0.0,40.0, <=50K
 Private,543063.2, Some-college,10.0, Never-married, Not-in-family, White, Male,0.0,2.0980508, <=50K
 ?,190423.42, Masters,14.0, Divorced, Unmarried, White, Female,0.0,1.0055375, <=50K
 Private,31260.068, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,217047.53, HS-grad,9.0, Divorced, Not-in-family, White, Female,0.0,30.0, <=50K
 Private,80983.45, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,213470.89, Some-college,10.0, Never-married, Own-child, White, Female,0.0,40.0, <=50K
 Private,610462.25, HS-grad,9.0, Divorced, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,127912.69, Assoc-voc,11.0, Never-married, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,132670.58, HS-grad,9.0, Divorced, Own-child, White, Male,0.0,40.0, <=50K
 Private,391539.34, 10th,3.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,152387.97, Some-college,10.0, Married-civ-spouse, Unmarried, White, Female,0.0,40.0, <=50K
 Private,40522.168, Bachelors,13.0, Never-married, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,165031.86, Some-college,10.0, Never-married, Own-child, White, Female,0.0,40.0, <=50K
 Private,22529.828, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Local-gov,345534.28, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,435146.34, HS-grad,9.0, Never-married, Other-relative, White, Male,0.0,40.0, <=50K
 Private,128544.53, Some-college,10.0, Never-married, Own-child, White, Male,0.0,40.0, <=50K
 Private,275089.47, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,153537.39, HS-grad,9.0, Divorced, Not-in-family, White, Male,0.0,8.0, <=50K
 Private,76521.01, Assoc-voc,11.0, Divorced, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,188542.2, Some-college,10.0, Never-married, Unmarried, White, Male,0.0,40.0, <=50K
 Private,26635.678, 7th-8th,3.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Local-gov,354609.06, Masters,14.0, Never-married, Not-in-family, White, Female,0.0,99.0, <=50K
 Private,287711.3, HS-grad,9.0, Never-married, Own-child, White, Female,0.0,4.4624114, <=50K
 Self-emp-not-inc,338752.47, Some-college,10.0, Never-married, Not-in-family, White, Male,0.0,80.0, <=50K
 Private,143361.39, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,104304.13, HS-grad,9.0, Never-married, Own-child, White, Female,0.0,2.814456, <=50K
 ?,254668.47, HS-grad,9.0, Never-married, Own-child, White, Male,1977.0,3.6476283, >50K
 Private,161785.81, Some-college,10.0, Divorced, Other-relative, White, Female,0.0,40.0, <=50K
 Private,402203.0, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,85.69495, >50K
 Private,174810.72, HS-grad,9.0, Never-married, Unmarried, White, Male,0.0,40.0, <=50K
 Private,164726.8, 12th,10.0, Never-married, Other-relative, White, Female,0.0,60.0, <=50K
 Private,19095.443, Bachelors,15.0, Married-civ-spouse, Own-child, White, Male,0.0,37.0, <=50K
 Private,125679.85, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 ?,33130.035, Bachelors,13.0, Never-married, Not-in-family, White, Female,0.0,40.0, >50K
 Private,182247.66, 11th,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,171881.3, Bachelors,13.0, Never-married, Own-child, White, Female,0.0,40.0, <=50K
 Private,208687.98, 11th,7.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,114626.984, Bachelors,13.0, Divorced, Unmarried, White, Female,0.0,5.0, <=50K
 Private,197823.2, Bachelors,13.0, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,0.0,55.0, >50K
 Private,187452.62, Some-college,10.0, Never-married, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,178367.31, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,110606.4, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,70.0, <=50K
 Private,500322.25, Some-college,10.0, Never-married, Own-child, White, Male,0.0,2.2629864, <=50K
 Private,153516.44, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,50.0, <=50K
 Private,22371.473, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,80.0, >50K
 Private,141666.53, Some-college,10.0, Never-married, Not-in-family, White, Female,0.0,5.5702853, <=50K
 Private,152924.92, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,37093.49, Some-college,10.0, Married-civ-spouse, Wife, White, Female,0.0,40.0, <=50K
 Private,188656.73, Masters,14.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,376638.2, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Local-gov,80920.21, Bachelors,13.0, Never-married, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,27414.578, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,192653.97, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,468871.78, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,99.0, >50K
 Private,26868.338, HS-grad,9.0, Never-married, Not-in-family, White, Male,0.0,50.0, <=50K
 Private,123928.61, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,6.595685, <=50K
 Private,444796.56, Some-college,10.0, Married-civ-spouse, Wife, White, Female,0.0,40.0, <=50K
 Private,36049.082, HS-grad,9.0, Separated, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,67687.5, Some-college,10.0, Widowed, Unmarried, White, Female,0.0,40.0, <=50K
 Private,202906.7, HS-grad,9.0, Divorced, Other-relative, White, Male,0.0,99.0, <=50K
 Private,271009.72, HS-grad,9.0, Never-married, Own-child, White, Female,0.0,30.0, <=50K
 Private,102151.1, Bachelors,13.0, Widowed, Not-in-family, White, Female,0.0,1.0, <=50K
 Private,190946.03, Masters,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,21417.46, Some-college,10.0, Never-married, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,458724.4, Masters,14.0, Widowed, Unmarried, White, Female,0.0,99.0, <=50K
 Private,209541.11, Doctorate,16.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,50393.625, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,99.0, >50K
 Private,140892.33, 7th-8th,3.0, Married-civ-spouse, Husband, White, Male,0.0,1.1581994, <=50K
 Private,141549.36, Assoc-voc,11.0, Never-married, Not-in-family, White, Male,0.0,64.59656, <=50K
 Private,150305.6, Bachelors,13.0, Never-married, Own-child, White, Female,0.0,5.0, <=50K
 ?,40530.082, 7th-8th,3.0, Married-civ-spouse, Husband, White, Male,0.0,1.0002465, <=50K
 Private,38166.44, Some-college,10.0, Never-married, Own-child, Black, Female,0.0,40.0, <=50K
 Private,21272.744, Masters,14.0, Divorced, Not-in-family, White, Male,0.0,99.0, <=50K
 Private,41308.24, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,80.0, >50K
 Self-emp-not-inc,20467.25, HS-grad,9.0, Never-married, Not-in-family, White, Male,0.0,97.13717, <=50K
 Private,29763.691, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,99.0, <=50K
 Private,187427.97, 11th,7.0, Never-married, Own-child, White, Male,0.0,5.0, <=50K
 Private,308528.25, Some-college,10.0, Never-married, Own-child, White, Female,0.0,40.0, <=50K
 Self-emp-not-inc,53293.496, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Local-gov,17725.25, Some-college,10.0, Never-married, Not-in-family, Black, Male,0.0,40.0, <=50K
 Local-gov,86525.24, Bachelors,13.0, Never-married, Unmarried, White, Female,0.0,40.0, >50K
 Private,106899.484, Some-college,10.0, Separated, Unmarried, White, Female,0.0,99.0, <=50K
 Private,132636.72, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,141318.8, Bachelors,13.0, Divorced, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,309797.75, Bachelors,13.0, Never-married, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,30485.719, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,99.0, <=50K
 Private,31175.545, 11th,7.0, Divorced, Unmarried, White, Female,0.0,40.0, <=50K
 Private,112641.39, HS-grad,9.0, Never-married, Own-child, White, Male,0.0,6.0, <=50K
 Private,241425.58, Masters,14.0, Divorced, Own-child, White, Female,0.0,99.0, <=50K
 Private,288047.4, Bachelors,13.0, Never-married, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,95853.93, HS-grad,9.0, Never-married, Own-child, White, Male,0.0,35.0, <=50K
 Private,406692.78, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,33690.07, HS-grad,9.0, Never-married, Not-in-family, White, Male,0.0,99.0, <=50K
 Private,48720.562, Masters,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,278468.0, Some-college,10.0, Divorced, Not-in-family, Black, Male,0.0,4.0, <=50K
 Private,38475.344, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,430670.8, Some-college,10.0, Never-married, Unmarried, White, Male,0.0,1.9502813, <=50K
 Private,404186.22, HS-grad,9.0, Divorced, Unmarried, White, Male,0.0,40.0, <=50K
 Private,21393.398, HS-grad,9.0, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,0.0,40.0, >50K
 Local-gov,205120.4, Some-college,10.0, Divorced, Unmarried, White, Female,0.0,74.42622, <=50K
 Private,207294.02, 10th,6.0, Married-civ-spouse, Husband, White, Male,0.0,8.0, <=50K
 ?,590181.1, Assoc-acdm,12.0, Separated, Unmarried, Black, Male,0.0,40.0, <=50K
 Private,600711.0, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,196046.39, Bachelors,7.0, Never-married, Own-child, White, Male,0.0,44.0, <=50K
 Private,167090.97, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,200192.05, Some-college,10.0, Divorced, Not-in-family, White, Male,0.0,75.0, <=50K
 Local-gov,167084.28, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,581492.56, HS-grad,9.0, Never-married, Unmarried, Black, Female,0.0,40.0, <=50K
 Private,273103.2, 11th,7.0, Married-civ-spouse, Husband, White, Male,0.0,50.0, <=50K
 Self-emp-not-inc,31807.727, HS-grad,9.0, Divorced, Not-in-family, White, Female,0.0,1.4365096, <=50K
 Private,97397.14, Some-college,10.0, Divorced, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,31758.484, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,99.0, <=50K
 Private,234493.27, HS-grad,9.0, Never-married, Own-child, White, Female,0.0,10.0, <=50K
 Private,121961.04, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,571950.7, HS-grad,9.0, Never-married, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,20879.686, HS-grad,9.0, Divorced, Unmarried, White, Female,0.0,40.0, <=50K
 Local-gov,182812.28, Some-college,10.0, Never-married, Own-child, White, Male,0.0,40.0, <=50K
 Private,32644.824, Some-college,10.0, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,0.0,40.0, <=50K
 Private,291402.72, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,99.0, >50K
 Private,162362.23, Some-college,10.0, Never-married, Not-in-family, White, Male,0.0,2.8297355, <=50K
 ?,253481.48, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 ?,75701.51, Some-college,10.0, Widowed, Unmarried, White, Female,0.0,1.0, <=50K
 Private,38271.99, Some-college,10.0, Never-married, Own-child, White, Female,0.0,15.0, <=50K
 Private,596371.5, HS-grad,9.0, Divorced, Unmarried, Black, Female,0.0,40.0, <=50K
 Private,110137.55, HS-grad,9.0, Married-civ-spouse, Wife, White, Male,0.0,40.0, >50K
 Local-gov,214887.52, Bachelors,13.0, Never-married, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,27116.55, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,99.0, <=50K
 Private,35001.67, Some-college,16.0, Married-civ-spouse, Wife, White, Female,0.0,40.0, <=50K
 Private,86825.16, Bachelors,13.0, Never-married, Own-child, White, Female,0.0,4.601684, <=50K
 Private,331831.56, HS-grad,9.0, Never-married, Own-child, White, Female,0.0,40.0, <=50K
 Private,22151.73, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,164785.16, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,178418.73, 11th,7.0, Married-civ-spouse, Husband, White, Male,0.0,50.0, >50K
 Private,26150.707, HS-grad,9.0, Divorced, Unmarried, White, Female,0.0,40.0, <=50K
 Private,221324.58, HS-grad,9.0, Never-married, Own-child, White, Male,0.0,40.0, <=50K
 Private,431158.78, 7th-8th,14.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Self-emp-not-inc,72623.17, HS-grad,9.0, Divorced, Not-in-family, White, Male,0.0,99.0, <=50K
 Private,175944.08, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Local-gov,236092.33, Bachelors,13.0, Divorced, Own-child, White, Male,0.0,40.0, <=50K
 Private,243438.16, 11th,7.0, Never-married, Other-relative, White, Male,0.0,40.0, <=50K
 Private,201067.36, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,1.0236084, <=50K
 Private,146861.53, HS-grad,9.0, Never-married, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,380926.16, HS-grad,9.0, Never-married, Own-child, White, Male,0.0,40.0, <=50K
 Private,190307.62, Bachelors,13.0, Married-civ-spouse, Wife, White, Female,0.0,40.0, <=50K
 Private,122848.85, HS-grad,9.0, Never-married, Own-child, White, Male,0.0,40.0, <=50K
 Private,429132.53, HS-grad,9.0, Divorced, Unmarried, White, Female,0.0,40.0, <=50K
