Sex,Length,Diameter,Height,Shucked_weight,Viscera_weight,Rings
M,0.615,0.49,0.175,0.46212015,0.25693724,18.827951
I,0.5,0.395,0.13756606,0.19062206,0.14162341,8.0
I,0.13405286,0.10239914,0.014905634,0.0045986474,0.0018368922,4.0
M,0.68438035,0.5334057,0.19,0.73066103,0.36679617,11.0
I,0.110002466,0.09,5.2740666e-07,0.002500321,0.0005,2.001434
F,0.59,0.46078596,0.155,0.43854535,0.2246325,10.0
I,0.110708065,0.0901702,0.00041986807,0.0025318833,0.0005028962,2.0710206
I,0.4278091,0.325,0.105,0.17671254,0.08061179,7.0
F,0.8141076,0.646656,1.0340908,1.4863452,0.7540748,13.0
F,0.59,0.2702929,0.15,0.5225806,0.27699664,6.0
F,0.5349958,0.40709403,0.135,0.33716485,0.159252,8.0
M,0.64422345,0.50540334,0.175,0.6007188,0.29074752,11.0
I,0.44,0.3342273,0.105,0.16701204,0.07987179,9.0
I,0.11004757,0.0900043,2.2052056e-05,0.0025045522,0.0005,2.0089312
I,0.66,0.64802337,0.09483048,0.5354191,0.17610928,5.0
M,0.53662014,0.415,0.135,0.33767012,0.16117859,9.0
M,0.57,0.44649032,0.15,0.38200054,0.19560266,11.0
I,0.4622396,0.35458893,0.11369143,0.19889887,0.09363077,9.0
M,0.6096663,0.5049131,0.15,0.56483096,0.2776468,12.0
M,0.29912832,0.22905406,0.08,0.039861925,0.033384435,9.0
F,0.61,0.475,0.165,0.477082,0.24694319,10.0
I,0.42887315,0.325,0.1,0.16560265,0.07496915,7.0
F,0.6820446,0.53173643,0.18559752,0.69194293,0.36054578,11.0
I,0.41074905,0.3109944,0.1,0.13838486,0.06403375,8.0
M,0.60507005,0.45,0.155,0.46854872,0.21533585,10.0
F,0.8125194,0.64311796,0.90019387,1.4775208,0.7434158,13.0
I,0.11004254,0.09000357,1.8862875e-05,0.0025041746,0.0005,2.0086381
M,0.29143113,0.22317104,0.0799519,0.037686102,0.03115573,9.0
F,0.6362844,0.5155448,0.18,0.50027335,0.27563733,15.0
I,0.65,0.52351403,0.19466469,0.57387197,0.3115348,19.930779
I,0.6303867,0.455,0.105,0.24036749,0.1256715,17.847826
I,0.3119046,0.22240241,0.0662693,0.045828033,0.031980477,6.640563
M,0.6671518,0.525,0.18954714,0.65328604,0.3325021,13.860311
M,0.20694372,0.1474621,0.054029837,0.015883269,0.009377264,5.0
F,0.2447785,0.18833947,0.066793546,0.016750082,0.020419424,10.0
F,0.615,0.4839204,0.165,0.49635103,0.25744367,10.0
F,0.77888477,0.5932549,0.21080859,1.2261004,0.58058894,11.0
F,0.64,0.505,0.175,0.5716507,0.2932799,10.0
F,0.58610857,0.46,0.15831195,0.4219971,0.22111918,11.0
I,0.555,0.43015537,0.145,0.34346697,0.16653018,10.0
M,0.11017454,0.09000723,0.0001279489,0.0025052878,0.0005001069,2.0945044
M,0.73848563,0.5777098,0.20717609,1.0930371,0.47412255,11.982613
I,0.62,0.49,0.17478022,0.4749676,0.24886166,15.0
F,0.6467952,0.51,0.175,0.58446145,0.30165464,11.0
I,0.3389191,0.25628263,0.08,0.077717885,0.038132694,7.0
M,0.7365797,0.5768248,0.20517527,1.0889933,0.44349608,12.0
I,0.45202756,0.34723878,0.11,0.17804737,0.08663378,9.0
M,0.11078024,0.090073824,0.0012471696,0.0025321709,0.0005020397,2.115694
M,0.78935885,0.19786578,1.1229064,0.2643911,0.118436925,9.0
M,0.6963035,0.5233081,0.42557397,0.2484811,0.2740758,10.0
I,0.6295998,0.4907613,0.17,0.49463192,0.25800022,11.0
F,0.6211323,0.49,0.17,0.48813495,0.26229706,12.0
I,0.11642984,0.093221515,0.0042464104,0.0029362026,0.0006862047,2.5658617
M,0.63,0.49741536,0.17,0.5498777,0.27112988,10.0
F,0.7226121,0.56252635,0.195,1.0028889,0.432008,10.0
I,0.2351313,0.34422427,0.11,0.44035864,0.051646795,6.0
F,0.67763543,0.53341824,0.19104154,0.64166737,0.34917298,15.0
M,0.7982469,0.62193125,0.30125952,1.4164691,0.67242044,12.0
I,0.3639196,0.09,0.15478162,0.13949625,0.037969984,7.0
I,0.11029657,0.090049505,0.00017140212,0.0025162802,0.0005007246,2.034125
I,0.22988383,0.16802618,0.053308863,0.02323614,0.013017298,5.0
M,0.8118759,0.642335,0.96922207,1.4796907,0.74065274,13.0
F,0.5,0.38036388,0.125,0.28942713,0.13235882,6.0
M,0.78516376,0.6103341,0.22295515,1.2919531,0.6088417,14.0
M,0.625,0.4898579,0.16691694,0.520212,0.26192483,10.0
F,0.637213,0.5040706,0.175,0.5388582,0.2851814,12.0
F,0.31337294,0.24611942,0.08,0.04889527,0.038276553,9.0
F,0.6563806,0.515,0.18,0.60699886,0.31113672,11.0
M,0.5174858,0.43,0.125,0.36451766,0.18007226,10.0
F,0.53,0.42,0.15,0.3507278,0.18506297,9.0
F,0.48,0.37890756,0.13,0.21274653,0.12619065,13.0
M,0.70902765,0.5500984,0.195,0.83156574,0.40360555,12.0
I,0.5483434,0.39,0.18558493,0.17492566,0.1739181,5.0
M,0.5700476,0.45,0.15,0.38257414,0.19938457,12.0
F,0.625,0.475,0.175,0.4988104,0.26681998,16.142351
I,0.515,0.39820173,0.12902893,0.27776313,0.13094424,9.0
I,0.110152945,0.09002085,8.52333e-05,0.0025107113,0.0005002659,2.019644
F,0.44,0.3334405,0.11,0.17799781,0.089192614,8.0
F,0.6143441,0.48284656,0.18,0.39125076,0.23671058,12.0
F,0.45944282,0.35469285,0.12,0.19723871,0.10451547,9.0
M,0.515,0.395,0.13,0.28363264,0.14162003,10.0
M,0.8127633,0.64400387,1.0143421,1.4829252,0.7462788,13.0
I,0.555,0.43,0.14,0.35228762,0.16894129,9.0
F,0.29557422,0.2336981,0.08,0.039188717,0.03518625,10.0
F,0.4845701,0.375,0.12199319,0.2425437,0.12308191,9.0
M,0.3483149,0.2660908,0.09,0.07266745,0.04518227,9.0
F,0.28612506,0.22509667,0.078556076,0.035167508,0.03239293,10.0
F,0.81152457,0.64093477,0.80657625,1.4737302,0.7362791,12.507774
I,0.62,0.49114648,0.175,0.47674876,0.25111908,15.073822
F,0.31810355,0.24729227,0.08017079,0.05383531,0.03858634,9.0
F,0.8145741,0.64863855,1.0872782,1.4867072,0.7580307,15.14823
M,0.15702374,0.11587746,0.041524407,0.0057284147,0.0035002318,6.0
I,0.11008453,0.09000826,4.0194645e-05,0.002506528,0.0005000877,2.0165315
F,0.56358916,0.44,0.15,0.3600763,0.19268894,11.0
I,0.465,0.26159146,0.008632293,0.0049026934,0.03878972,7.0
F,0.5593935,0.435,0.14817242,0.36071092,0.19084165,10.0
I,0.1100099,0.09,3.125113e-06,0.0025010891,0.0005,2.003217
F,0.7560835,0.5822577,0.20701632,1.0323542,0.48246267,12.0
I,0.585,0.4630277,0.15948774,0.40002847,0.20860876,13.310874
F,0.69184303,0.5234848,0.165,0.81059444,0.39478916,11.0
F,0.8054365,0.632583,0.38227585,1.4054245,0.7024411,13.0
F,0.59172314,0.465,0.16,0.42728588,0.22782157,11.0
F,0.4603274,0.46786535,0.16229965,0.40273905,0.018138826,11.0
I,0.11045431,0.09008295,0.0002559483,0.0025213799,0.00050130306,2.0572898
M,0.7674029,0.5849769,0.21476279,1.2107558,0.5334896,13.0
M,0.525,0.40749595,0.13695139,0.29519743,0.15455773,12.0
I,0.38042325,0.29,0.09,0.12433587,0.057796918,7.0
F,0.555,0.43,0.15,0.36967143,0.19133763,9.0
M,0.8125163,0.6435579,0.954091,1.4808956,0.74037766,13.0
M,0.2640125,0.1951873,0.07,0.025776496,0.020578707,8.0
F,0.73975646,0.5798764,0.20612754,0.97305995,0.47255945,13.0
M,0.766676,0.5897457,0.21768008,1.1585932,0.5243101,14.0
I,0.12733164,0.09778604,0.010041982,0.003784689,0.0013742448,3.847501
M,0.5624981,0.43898904,0.149317,0.36521837,0.18647046,11.0
F,0.29072392,0.2208417,0.074962065,0.046487983,0.029581955,7.0
F,0.475,0.37,0.15,0.25592533,0.14811334,9.0
I,0.11328686,0.09157292,0.0021242655,0.002673675,0.00055075035,2.3488727
F,0.61044914,0.48,0.165,0.48053297,0.25089425,10.0
M,0.575,0.45,0.16,0.37735316,0.23118436,13.0
F,0.6531803,0.515,0.17776528,0.60809433,0.30983818,11.0
F,0.81493145,0.64974105,1.1004006,1.4879816,0.7596471,15.0
I,0.28101066,0.2087326,0.069281705,0.052239865,0.02454995,4.2105975
M,0.5894595,0.46,0.155,0.43671072,0.21855581,10.0
I,0.41060162,0.31753656,0.097710885,0.1521147,0.07100145,7.0
I,0.535,0.41181663,0.14,0.30285215,0.14608315,10.0
M,0.55,0.47541532,0.16,0.40141135,0.1655178,10.0
I,0.80711514,0.14474036,0.17,0.33854175,0.27670667,11.0
M,0.6946832,0.5611398,0.20871532,0.6910956,0.38851932,13.819652
M,0.5230985,0.325,0.16,0.39795452,0.22303207,8.0
I,0.39623356,0.3,0.09285544,0.100659326,0.050662003,8.0
F,0.58,0.44389424,0.1867232,0.26111963,0.24323437,9.0
M,0.8143362,0.64747614,1.0870974,1.4874802,0.75637496,13.351537
I,0.44273415,0.34069946,0.10744142,0.17596264,0.08403387,8.0
I,0.525,0.5636146,0.18,0.31720603,0.12652797,9.0
M,0.63,0.48004887,0.165,0.57229644,0.2979684,9.0
F,0.81294185,0.6442449,0.9446483,1.4787173,0.74633205,13.0
M,0.27338013,0.20207767,0.07,0.029706016,0.022418547,8.0
F,0.6538339,0.51,0.18,0.61022073,0.30985665,10.397832
M,0.11441716,0.09130705,0.0070872805,0.0027673347,0.0005564048,2.3204606
I,0.565,0.44,0.145,0.36726192,0.17985909,9.0
M,0.5688794,0.44,0.15,0.3805639,0.19340573,10.0
M,0.7612251,0.583666,0.21325913,1.2090465,0.51540214,12.0
F,0.73578864,0.57465565,0.2,1.0032071,0.46632424,11.0
I,0.11991871,0.09511176,0.0065249037,0.00327488,0.0009108479,2.7058914
F,0.615,0.485,0.17,0.46978384,0.25701255,14.0
M,0.43925917,0.33148664,0.10887227,0.18192154,0.08692301,8.0
I,0.2138257,0.15629917,0.04865853,0.020260615,0.011026951,4.01051
M,0.40898517,0.355,0.13,0.26017505,0.07889541,9.0
F,0.3944581,0.30335125,0.1,0.11323388,0.067048796,10.0
I,0.110101596,0.09001182,5.3095162e-05,0.0025084047,0.00050013646,2.0149326
M,0.53414273,0.4110831,0.135,0.32236043,0.15912293,9.365025
M,0.62291616,0.47,0.17,0.50090444,0.24639238,12.0
F,0.5029512,0.4013559,0.14,0.27071854,0.21997218,11.0
I,0.11018213,0.09002401,9.743899e-05,0.0025113751,0.00050031196,2.0260956
F,0.575,0.45,0.16,0.44816858,0.22167653,12.0
F,0.61,0.325,0.195,0.20862368,0.032949947,16.332651
M,0.36526182,0.5379894,0.095,0.13478184,0.10603112,8.0
F,0.5810935,0.46258742,0.155,0.42056143,0.21894822,11.0
F,0.7984283,0.6223988,0.22098295,1.3504008,0.6657462,13.0
F,0.65460294,0.52116376,0.18763009,0.5714707,0.30971026,16.441616
I,0.11022709,0.090032175,0.00012351295,0.0025131258,0.00050043897,2.031347
F,0.4026205,0.30843762,0.1,0.11951399,0.0708059,10.0
F,0.81472564,0.6491561,1.1030055,1.4874176,0.75921273,15.509001
I,0.12709066,0.098785155,0.0110081555,0.0040988103,0.0014402132,2.7042222
M,0.6036296,0.475,0.165,0.45318946,0.24016601,14.0
M,0.625,0.49398148,0.17,0.525859,0.266143,11.0
M,0.54065424,0.42,0.14,0.33335176,0.16819364,10.0
M,0.6,0.475,0.16,0.4593681,0.23507915,11.0
M,0.71768,0.558633,0.19600217,0.88062894,0.41720977,11.143311
M,0.11039525,0.0900218,0.0005329026,0.0025134988,0.00050046534,2.2634218
I,0.3779512,0.40060663,0.135,0.20595926,0.12002695,8.0
F,0.59,0.465,0.16,0.41337636,0.22201349,15.687754
F,0.525,0.4037326,0.135,0.30088198,0.15510862,9.698641
F,0.7210659,0.5127638,0.13837323,1.0271696,0.21970691,2.6980915
M,0.6,0.46,0.14,0.50671,0.20995876,9.0
F,0.72510016,0.57273656,0.20322102,0.8208895,0.4425952,16.0
M,0.812575,0.6433314,1.0019702,1.4830401,0.74540716,13.0
I,0.17663069,0.12615553,0.038632225,0.010701541,0.005500833,3.8614984
F,0.65533346,0.515,0.175,0.63317555,0.31316093,10.0
M,0.59,0.4617244,0.155,0.44248918,0.22049147,10.0
F,0.39852777,0.61396813,0.068722725,0.29966787,0.17375027,14.0
F,0.18157187,0.25603762,0.06501242,0.03358732,0.1974336,2.8270833
F,0.5322884,0.41298097,0.14,0.30860785,0.16297032,10.0
M,0.601204,0.3,0.145,0.32765844,0.18806113,5.8791614
F,0.59,0.4612595,0.15820377,0.4313395,0.22396731,10.0
M,0.8122081,0.37,0.18,0.10840944,0.087739676,26.941553
F,0.30558643,0.21455231,0.08314498,0.06315163,0.06353575,6.0
I,0.3934288,0.24889952,0.06089099,0.43627468,0.09940863,9.0
F,0.46623194,0.35937005,0.12,0.21133071,0.109321125,9.0
M,0.79509425,0.62187296,0.5668031,1.3640417,0.6781955,14.0
I,0.45139545,0.33880907,0.10557241,0.18684322,0.07390902,9.468793
F,0.43164828,0.32804078,0.11,0.16098411,0.08558398,9.0
F,0.71416533,0.55580693,0.195,0.7931986,0.40797055,12.0
M,0.18786505,0.13449998,0.04780977,0.009474965,0.0064037656,6.0
F,0.80209285,0.62958866,0.23633519,1.3550067,0.68116313,14.0
F,0.3794562,0.28270674,0.095,0.12113536,0.056793183,7.0
M,0.585,0.475,0.075729296,0.265233,0.11841455,11.0
M,0.64,0.5043961,0.175,0.5731235,0.287044,11.0
F,0.7253209,0.5657103,0.195,0.94496167,0.44355664,10.0
F,0.6,0.47,0.16,0.4499132,0.23497927,10.0
F,0.36392066,0.28,0.0945967,0.08235875,0.055266198,9.310462
I,0.43648925,0.3301659,0.10498667,0.17236197,0.07979253,7.0
F,0.525,0.405,0.135,0.30118868,0.15625672,10.0
M,0.4230842,0.31389302,0.10729811,0.16707714,0.082064725,8.0
F,0.7278593,0.56801903,0.19668092,0.9348105,0.4478581,11.0
I,0.3385095,0.25767627,0.08,0.070046164,0.037635256,8.0
F,0.80122674,0.62519777,0.2229788,1.3924342,0.684024,12.0
M,0.15821983,0.11775289,0.042487733,0.0049264394,0.0037797806,7.0
F,0.6973454,0.5443235,0.19,0.72779673,0.38061264,11.0
M,0.5392785,0.38929814,0.16093835,0.50254345,0.21817735,9.0
F,0.54586476,0.44,0.15,0.32827294,0.17509691,16.0
F,0.7809605,0.59731513,0.21186158,1.2160367,0.5877501,12.0
M,0.6,0.47,0.16,0.46542034,0.23455964,10.0
F,0.81380105,0.6459971,1.0206873,1.4844855,0.7529605,13.0
I,0.37813246,0.28796884,0.09,0.119945236,0.054599445,6.0
M,0.8142769,0.647294,1.0871571,1.4874009,0.7563193,13.221894
I,0.4735609,0.36002123,0.115,0.22208308,0.102517925,7.474459
F,0.57,0.44731307,0.15,0.39460298,0.20381021,10.0
M,0.11030776,0.09001613,0.00038660914,0.002511641,0.00050032476,2.1782095
F,0.71104324,0.55,0.195,0.81147075,0.4082378,10.295883
M,0.57,0.4429711,0.15,0.38910156,0.1949895,10.0
M,0.72397125,0.5645227,0.2,0.9804329,0.43924412,11.0
I,0.29745856,0.22331524,0.07058186,0.053658966,0.028071122,6.0
M,0.79832476,0.6223304,0.31924015,1.4143312,0.6722794,12.420228
F,0.53,0.4055906,0.15,0.3000192,0.16843607,9.0
M,0.65,0.51,0.175,0.62699425,0.30577102,10.0
M,0.8028238,0.62892264,0.5440807,1.434792,0.6923098,13.0
F,0.27018332,0.20536613,0.07,0.025306944,0.025282491,9.0
M,0.42060718,0.3250479,0.11,0.13453992,0.082920544,11.0
M,0.684097,0.52799654,0.18956424,0.78969353,0.39072502,10.0
M,0.53,0.405,0.13369027,0.32132137,0.1524421,9.0
F,0.57,0.4414556,0.145,0.40965882,0.19190107,9.0
F,0.20418243,0.45,0.175,0.72256935,0.7536726,2.1357982
I,0.4407925,0.3552047,0.11,0.21964358,0.085938856,7.0
I,0.17225085,0.123796955,0.036157206,0.009504288,0.004985817,4.0
I,0.5205687,0.4,0.13040568,0.2875548,0.13624978,10.0
F,0.5708475,0.44966477,0.15,0.3991363,0.20271032,9.0
M,0.63,0.5012545,0.18,0.51277095,0.27508694,16.990917
I,0.635,0.50861174,0.185,0.515866,0.2802261,18.171228
F,0.63,0.495,0.17,0.52888536,0.27446717,10.0
M,0.31880695,0.2379522,0.08,0.08271008,0.03326043,4.382381
F,0.81394327,0.64622086,1.0271442,1.4856093,0.7535834,13.0
M,0.635,0.5003607,0.175,0.5516448,0.28099254,12.0
F,0.61848426,0.475,0.15,0.4722078,0.27123085,8.0
I,0.45015872,0.425,0.14841318,0.2705309,0.17139876,10.0
M,0.27235737,0.20173807,0.07,0.0278611,0.02245575,9.0
I,0.11070933,0.09017222,0.0004227442,0.002532119,0.0005029357,2.0694764
M,0.63,0.5,0.175,0.537863,0.27198848,11.0
I,0.7292757,0.26094064,0.095,0.126274,0.08686133,9.0
M,0.66668814,0.525,0.18619771,0.6563249,0.33081135,12.0
M,0.287307,0.21765853,0.076928385,0.03708378,0.0287555,9.0
F,0.65728796,0.5204364,0.18547794,0.5842393,0.3117705,14.891395
F,0.8143434,0.64740026,1.0545034,1.4870342,0.7560048,13.0
F,0.43916005,0.33533362,0.11,0.16646026,0.08945866,9.0
I,0.27340326,0.20085935,0.06624209,0.03756612,0.020912282,6.0
M,0.5136911,0.395,0.13,0.28451732,0.14073329,9.954662
M,0.7015286,0.5498596,0.19068444,0.82660526,0.3920439,10.0
I,0.28743896,0.21590924,0.07,0.05011288,0.026067283,6.0
F,0.6317871,0.50149876,0.17259291,0.53998893,0.2994407,11.0
F,0.62,0.49,0.17336926,0.4821368,0.26190275,13.0
I,0.1134272,0.091701485,0.0022972836,0.0027035263,0.0005612811,2.2113168
F,0.50562984,0.39152697,0.135,0.26646933,0.14086214,10.0
I,0.11029368,0.090043835,0.00015869808,0.0025153272,0.00050062494,2.0429335
F,0.6794614,0.5282409,0.18317756,0.69355524,0.36259905,10.0
M,0.6677488,0.525,0.18597014,0.57759464,0.30855924,14.631226
F,0.49379176,0.38,0.13,0.24592979,0.13002452,10.0
M,0.51592654,0.39337274,0.125,0.30948424,0.14847417,9.0
I,0.3881103,0.29782555,0.09489255,0.1207417,0.057247434,8.0
M,0.27616778,0.20411904,0.07,0.034151126,0.022913499,7.0
F,0.37892604,0.2931422,0.1,0.09719544,0.062425975,9.644516
F,0.81108,0.6404144,0.7710827,1.4681971,0.73375326,13.0
I,0.11009135,0.09000973,4.2148586e-05,0.0025072973,0.00050009857,2.0176368
F,0.5979518,0.27033037,0.135,0.18763693,0.14273499,12.0
F,0.8031113,0.62843204,0.22433697,1.3964157,0.69316936,12.876461
F,0.625,0.49185476,0.17,0.5054191,0.2676084,11.0
M,0.7286879,0.5745444,0.20944062,0.916695,0.4469754,15.0
F,0.78558564,0.60157776,0.2121175,1.2921726,0.61238164,11.0
I,0.48911777,0.37663877,0.12,0.23819783,0.11132694,9.0
F,0.3615912,0.27827862,0.09026804,0.08298158,0.052183982,9.0
M,0.81481564,0.64928883,1.1107879,1.4879589,0.75895625,14.0
I,0.12766835,0.09894399,0.01116254,0.0040538074,0.0014573837,3.1868985
F,0.7893025,0.60926026,0.2149355,1.2779993,0.62518847,12.0
F,0.59,0.47,0.17,0.4190292,0.23035602,14.390247
I,0.44738823,0.34454706,0.11,0.18312345,0.0861345,8.0
M,0.8020762,0.6306087,0.61433315,1.4110911,0.6857602,14.0
M,0.6,0.4702164,0.155,0.48180225,0.23356172,9.0
M,0.61892855,0.485,0.16918609,0.49567452,0.2559688,11.0
I,0.11000133,0.09,0.0,0.0025003194,0.0005,2.0009353
M,0.7774732,0.59500384,0.21675266,1.2955984,0.5808125,12.0
F,0.693288,0.5382059,0.1868497,0.73123133,0.37661698,10.0
F,0.8040491,0.6324718,0.3741192,1.3713788,0.6911624,14.0
F,0.3846368,0.3,0.1,0.10710372,0.063015595,9.0
I,0.45249954,0.3450768,0.11,0.18949851,0.088180155,8.0
F,0.48349512,0.3721616,0.125,0.24534857,0.12289915,9.0
I,0.44073325,0.33978516,0.10633877,0.17453808,0.08354276,8.0
I,0.11176292,0.090742104,0.0010991644,0.002584084,0.0005153836,2.1508236
F,0.6901244,0.53703344,0.18795694,0.7122215,0.37111598,11.0
I,0.55,0.47984058,0.155,0.26689506,0.17072812,10.0
I,0.11,0.09,0.0,0.0025001788,0.0005,2.00055
I,0.11797296,0.09410628,0.005388695,0.0031284182,0.0007953566,2.400805
M,0.62,0.4855917,0.17,0.50189704,0.25372824,11.0
I,0.11169266,0.09070502,0.0008366559,0.0025876355,0.0005122602,2.156359
M,0.59151274,0.465,0.155,0.44289622,0.2220646,10.0
I,0.7320202,0.09000517,0.7575152,0.08285212,0.24983887,16.504879
M,0.11077269,0.09005632,0.0011315097,0.0025186178,0.0005012422,3.3765154
M,0.34152558,0.2632154,0.08921797,0.06260299,0.044477727,10.0
I,0.28720647,0.21615478,0.07,0.048911016,0.026538668,6.0
M,0.11228081,0.0903863,0.0035706053,0.0025596584,0.00051121117,4.0
M,0.7308798,0.57044995,0.20293476,1.0418401,0.4585935,11.0
I,0.5251691,0.405,0.13166496,0.2936062,0.13961178,9.0
M,0.22889371,0.16929856,0.062649295,0.014344965,0.013978825,9.0
F,0.4603817,0.36,0.125,0.18857166,0.112184145,12.621112
F,0.19868799,0.13992035,0.047575124,0.011145263,0.008562814,6.0
F,0.565,0.45,0.145,0.4118271,0.18593824,9.0
F,0.39845076,0.3048723,0.16,0.38557535,0.20595412,11.0
F,0.39622405,0.3001664,0.1,0.12214811,0.06614253,9.0
M,0.74138844,0.5829338,0.2149949,1.0113823,0.4754666,16.0
I,0.51921993,0.4,0.13,0.27891576,0.1321081,9.0
F,0.46774465,0.36,0.12,0.20927846,0.11099501,10.0
F,0.6892603,0.35,0.19,0.45271307,0.24920294,26.90185
M,0.78236794,0.6001195,0.21811406,1.335444,0.60361445,12.0
I,0.11108102,0.0903407,0.0006571204,0.0025497482,0.00050615164,2.09763
M,0.7894964,0.6089393,0.22091301,1.3815085,0.63586587,12.0
M,0.635,0.46,0.16809265,0.5147977,0.24290578,12.0
I,0.4375752,0.3309917,0.105,0.17138436,0.08006627,7.0
I,0.26419926,0.19400306,0.059611,0.038152963,0.01934785,5.0
I,0.56174725,0.091216534,0.063862,0.0043353373,0.059185628,11.0
M,0.51230067,0.395,0.135,0.27442366,0.1416642,11.0
F,0.8130378,0.64583576,1.022393,1.473949,0.74861836,15.405551
M,0.12998447,0.09995714,0.022911333,0.0038598268,0.0014120386,4.0
F,0.615,0.48337013,0.165,0.49320066,0.25677648,10.0
I,0.11698732,0.16846493,0.0012787972,0.55190104,0.12941574,6.0
F,0.42460176,0.25257733,0.14,0.038831875,0.03842284,7.0
I,0.6406138,0.51078635,0.1889286,0.53899336,0.2939648,18.57835
M,0.64,0.50801504,0.18,0.5547547,0.2897714,14.0
F,0.44119254,0.2071186,0.111497104,0.13048154,0.19886632,11.0
F,0.80075073,0.62439495,0.22172461,1.390725,0.6795831,12.0
F,0.47042075,0.36,0.12,0.21870741,0.110918224,9.0
M,0.6256745,0.5043495,0.185,0.49151355,0.27548158,21.163609
M,0.22230247,0.16431876,0.061256953,0.012698891,0.012990531,9.0
F,0.6043774,0.475,0.165,0.45803893,0.24294898,11.0
F,0.3614606,0.27561012,0.09,0.088411614,0.049760424,8.0
F,0.5702478,0.42561352,0.165,0.49405083,0.29568878,9.0
M,0.814708,0.64885694,1.1082486,1.4878933,0.75874025,14.0
M,0.7927029,0.6150707,0.22337185,1.3823546,0.6466831,12.292835
I,0.11,0.09,0.0,0.0025002593,0.0005,2.0007567
M,0.6221586,0.4984565,0.175,0.48836342,0.26174036,17.663242
