MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
2.3542,40.0,3.8504274,1.0598291,2096.0,4.4786325,33.9,-118.22,0.979
6.5226,21.0,5.3929963,1.0116731,946.0,3.680934,37.4,-121.86,2.585
1.6812,25.0,4.1922007,1.0222842,1392.0,3.8774374,36.06,-119.01,0.477
10.8805,10.0,7.680361,1.001002,3517.0,3.524048,34.28,-118.54,5.00001
1.0648,39.0,4.2169013,1.0788733,1182.0,3.3295774,35.38,-118.98,0.5
2.5,37.0,3.0665188,1.0421286,1185.0,2.6274946,34.13,-118.26,2.071
4.3586,8.0,5.744265,1.0484282,3237.0,2.7502124,38.27,-122.07,1.734
3.2386,43.0,3.942623,1.0368853,658.0,2.6967213,34.08,-118.27,1.85
2.5694,42.0,6.097923,1.2551929,2147.0,3.1854599,37.74,-122.39,2.01
4.7708,36.0,5.1062803,1.0,658.0,3.178744,34.07,-117.92,1.917
3.7361,48.0,5.754617,1.1055409,1041.0,2.746702,37.75,-122.49,3.202
4.3889,52.0,4.2900643,1.0288461,1144.0,1.8333334,33.76,-118.14,3.78
5.4895,13.0,7.926357,1.1149871,2473.0,3.1950905,36.83,-119.58,1.567
4.3176,52.0,6.2514176,1.0453687,1269.0,2.3988657,33.97,-117.39,1.362
0.9802,46.0,4.584288,1.0540098,1823.0,2.9836333,37.81,-122.29,1.292
2.6635,16.0,4.5555553,1.0479532,1762.0,2.0608187,38.57,-121.37,1.358
7.3028,45.0,6.84918,1.0229508,834.0,2.7344263,34.04,-118.39,5.00001
8.3841,35.0,6.716895,0.9589041,735.0,3.3561645,34.23,-118.52,4.722
5.7405,48.0,5.324627,0.94402987,693.0,2.585821,34.01,-118.4,3.516
3.7381,29.0,3.9939246,1.0716889,1523.0,1.8505468,34.03,-118.47,2.906
3.8594,10.0,5.4745765,1.0527307,1681.0,3.165725,34.53,-117.96,1.41
8.3839,52.0,8.061372,1.1444043,769.0,2.7761734,34.04,-118.5,5.00001
2.3236,21.0,3.658399,1.0811725,3528.0,3.977452,34.07,-118.02,1.563
3.0417,35.0,4.050971,1.0800971,1870.0,4.538835,33.92,-118.21,1.173
6.1133,34.0,6.873418,1.2468355,509.0,3.221519,33.85,-118.36,3.493
1.5923,52.0,5.537423,1.208589,1926.0,2.3631902,41.2,-122.27,0.56
1.5662,28.0,3.8308823,0.9877451,1564.0,3.8333333,36.97,-120.07,0.48
3.235,18.0,5.77026,1.0479937,3339.0,2.6270654,38.7,-121.3,1.247
3.725,21.0,6.2192693,1.0033222,870.0,2.8903654,39.16,-121.57,0.847
2.8833,19.0,6.75,1.3486842,424.0,2.7894738,39.31,-123.15,1.542
0.813,12.0,4.7810946,1.7014925,315.0,1.5671642,33.12,-117.1,2.75
3.4115,35.0,5.193548,1.0099256,1755.0,4.354839,34.03,-117.96,1.504
3.3086,7.0,5.181032,1.1022121,11973.0,3.044241,34.57,-118.1,1.381
4.801,26.0,3.9812348,1.0829297,2937.0,1.777845,34.06,-118.47,5.00001
3.7663,37.0,4.3076925,0.991453,1545.0,4.4017096,34.22,-118.36,1.603
1.9741,26.0,4.4135137,1.027027,890.0,2.4054055,41.04,-124.1,0.979
6.0808,35.0,4.9690723,0.9415808,759.0,2.6082475,34.27,-118.31,2.156
6.1561,12.0,10.0438595,1.3991228,728.0,3.1929824,33.92,-117.53,2.335
2.163,18.0,4.383399,1.1185771,1006.0,3.9762845,33.13,-115.52,0.534
2.7714,8.0,3.7539568,1.1309353,1803.0,2.5942447,34.22,-118.45,1.857
5.1155,34.0,5.4321375,0.9578783,2227.0,3.474259,33.81,-118.02,2.009
6.4266,5.0,6.7302847,1.0306085,9427.0,3.3946705,34.02,-117.79,3.156
5.1663,25.0,6.186154,0.9753846,2178.0,3.3507693,37.25,-121.82,2.412
1.7951,18.0,3.9053357,1.1738383,1329.0,2.2874355,32.77,-117.06,1.618
6.8939,17.0,7.1319447,1.0104166,836.0,2.9027777,33.61,-117.98,3.839
2.9891,26.0,4.6513944,1.0039841,1121.0,2.2330678,33.82,-117.97,2.052
5.2549,28.0,4.5199113,0.95132744,1108.0,2.4513273,33.65,-117.9,2.618
6.0992,24.0,6.0636363,1.1060606,1170.0,3.5454545,34.4,-119.91,2.688
5.1047,9.0,6.5280423,1.0148149,3378.0,3.574603,37.82,-121.24,1.579
5.76,9.0,6.305709,1.0736648,1460.0,2.688766,38.0,-122.11,2.126
3.2359,36.0,5.065997,1.081779,1613.0,2.3142037,33.99,-118.04,1.986
6.0137,17.0,6.1292515,1.0147393,2337.0,2.6496599,34.24,-118.61,3.759
4.5594,13.0,5.0843215,0.9354414,2283.0,3.0079052,34.14,-117.95,1.845
4.1058,37.0,4.9765887,1.0635451,2117.0,3.5401337,34.0,-118.07,1.673
2.2,49.0,5.1875,1.0972222,611.0,2.1215277,37.74,-122.15,1.875
4.2578,36.0,5.2588234,1.117647,2886.0,33.95294,33.94,-117.63,1.833
3.5714,48.0,5.9439254,1.0311526,789.0,2.457944,35.4,-118.99,0.846
10.7372,18.0,9.016112,1.081571,3011.0,3.0322256,37.86,-122.0,5.00001
2.7411,52.0,4.636771,1.0717489,531.0,2.381166,37.35,-121.9,2.271
3.2426,26.0,5.4898305,1.0966102,1529.0,2.5915253,34.24,-118.58,2.369
3.7277,33.0,4.76584,1.0633609,994.0,2.738292,34.03,-118.41,5.00001
3.1592,33.0,5.4951034,1.0489663,2293.0,2.4951034,35.15,-119.45,0.754
2.5208,17.0,6.3960676,1.3314607,767.0,2.1544943,38.45,-120.55,0.991
3.2847,35.0,6.218868,1.0754716,792.0,2.9886792,36.09,-119.56,0.647
3.1131,25.0,4.7517986,1.061151,396.0,1.4244604,33.6,-117.7,0.771
3.1711,52.0,5.058309,1.0116618,712.0,2.0758018,38.23,-122.65,2.008
4.125,52.0,3.125,0.5625,60.0,3.75,34.07,-117.37,2.625
6.1359,14.0,22.82353,6.352941,35.0,2.0588236,40.12,-121.78,1.063
4.4667,34.0,5.812375,1.0379242,1625.0,3.2435129,33.79,-117.95,1.906
3.1062,19.0,6.3302326,1.1139535,1108.0,2.576744,41.63,-122.64,1.0
3.2875,52.0,4.0526314,0.8684211,89.0,2.3421052,37.94,-122.41,2.75
6.4576,33.0,5.6613274,1.0800915,1268.0,2.9016018,34.15,-117.97,5.00001
3.9659,8.0,4.360614,1.0230179,886.0,2.2659848,34.41,-119.53,2.974
3.7,35.0,4.491453,1.1068376,517.0,2.2094016,37.52,-122.27,3.397
3.9286,13.0,5.9591837,0.98163265,1602.0,3.2693877,37.52,-120.8,1.458
2.8426,10.0,4.897243,1.1152883,1898.0,2.378446,38.67,-121.32,1.306
3.0871,42.0,4.3819876,0.9751553,1432.0,4.447205,33.92,-118.2,1.388
3.0156,32.0,4.885906,0.9127517,461.0,3.0939598,36.57,-119.3,1.091
3.7826,5.0,4.3632073,1.1709906,1657.0,1.9540094,33.79,-118.15,1.963
10.9722,5.0,7.9780703,1.0745614,802.0,3.5175438,37.46,-121.88,5.00001
3.6219,29.0,4.6982346,1.0176564,1710.0,2.7447834,34.11,-117.65,1.766
3.9338,17.0,5.60218,0.99727523,1259.0,3.4305177,36.8,-119.71,0.847
6.0842,18.0,7.675,1.05,368.0,3.0666666,38.26,-121.99,2.611
2.3276,23.0,5.625445,1.064057,1984.0,1.7651246,33.7,-117.2,0.924
2.5625,23.0,4.589091,1.069091,5176.0,18.821817,32.56,-116.97,1.533
1.1806,24.0,4.39697,1.1727272,1178.0,3.569697,34.09,-117.29,0.683
2.2478,31.0,5.1238093,1.1,1259.0,2.9976192,40.8,-124.13,0.811
1.3942,38.0,3.5661376,0.9417989,701.0,3.7089946,38.68,-121.76,0.694
2.5517,52.0,5.845118,1.2053872,638.0,2.148148,38.05,-122.23,1.471
2.0066,16.0,5.6895676,1.1145039,1361.0,3.4631042,37.2,-120.64,1.25
5.3701,36.0,5.957346,0.971564,530.0,2.5118484,33.8,-118.12,2.514
3.5417,52.0,4.613079,1.0653951,669.0,1.8228883,37.88,-122.27,2.875
4.7813,5.0,5.7039948,1.0569744,4372.0,2.8631303,32.75,-116.91,2.409
2.7268,30.0,4.196907,1.1,2144.0,2.2103093,33.85,-118.15,2.181
3.0437,20.0,3.8608057,0.985348,1219.0,4.4652014,36.42,-121.32,0.766
3.1799,35.0,5.6565657,1.0681819,1394.0,3.520202,34.08,-117.33,0.867
4.0114,42.0,6.687243,1.0493827,578.0,2.3786008,38.12,-122.24,1.669
2.3403,23.0,4.973626,1.0923077,1138.0,2.5010989,39.77,-121.6,0.873
5.9493,36.0,5.7315173,0.9844358,713.0,2.7743192,33.85,-118.1,2.28
5.4858,5.0,5.2044888,1.0149626,840.0,2.094763,37.68,-122.18,1.878
5.299,12.0,7.214932,1.0475113,1200.0,2.7149322,34.91,-120.44,2.268
12.5381,29.0,6.888889,1.2222222,50.0,2.7777777,33.96,-117.44,1.125
2.8214,14.0,10.529255,2.2579787,1064.0,2.8297873,34.29,-116.76,1.114
4.425,35.0,4.7239585,0.9505208,1025.0,2.6692708,37.67,-122.44,2.684
5.4298,24.0,6.1749644,0.9189189,1929.0,2.7439544,34.24,-119.05,2.796
2.875,22.0,16.883562,3.6917808,381.0,2.609589,39.06,-120.13,0.875
3.0982,18.0,4.7700257,1.0826874,1581.0,4.0852714,33.21,-117.24,1.113
3.2396,14.0,5.092511,0.95154184,574.0,2.5286343,38.37,-121.94,1.438
5.4904,15.0,6.4296117,1.0737864,5495.0,2.6674757,33.15,-117.32,2.621
2.6827,32.0,5.4871793,1.0205128,631.0,3.2358975,38.26,-122.05,0.989
2.4022,47.0,4.741848,1.0081521,1079.0,2.9320652,34.01,-118.32,1.234
2.3194,32.0,4.3896713,1.0258216,1142.0,2.680751,32.58,-117.13,1.594
2.3125,48.0,5.0257144,1.1114286,716.0,2.0457144,39.2,-121.05,1.083
4.5132,27.0,5.4925056,1.0256959,1227.0,2.627409,38.38,-122.82,2.599
6.827,36.0,7.0214286,1.0357143,1897.0,2.71,34.2,-118.11,3.594
2.4091,24.0,4.081535,1.0719424,1240.0,2.9736211,34.94,-120.45,1.155
1.0521,40.0,4.451883,1.1129707,912.0,3.8158996,37.94,-122.37,0.691
2.5038,39.0,4.9708223,1.0901856,822.0,2.1803713,39.14,-121.63,0.683
1.4712,12.0,5.251938,1.1143411,1724.0,3.3410852,36.98,-120.06,0.604
2.6087,21.0,5.1930294,1.0428954,1002.0,2.686327,37.25,-121.0,0.962
5.01,19.0,6.1367927,1.0353774,1156.0,2.7264152,33.69,-117.93,2.638
3.5296,43.0,4.64415,1.2279855,1497.0,1.8057901,37.71,-122.48,4.0
3.4338,28.0,5.2087717,1.1368421,1644.0,2.8842106,35.03,-117.68,0.549
3.3281,40.0,5.847909,0.9695817,669.0,2.5437262,38.26,-122.13,1.702
1.8906,32.0,3.4603481,1.0212766,1429.0,2.7640233,34.02,-118.12,2.245
4.0036,13.0,5.8439307,1.0404624,1363.0,2.6262043,38.63,-121.34,1.617
4.2083,33.0,5.0261626,1.1511627,1073.0,3.1191862,33.91,-118.32,1.805
3.3594,28.0,5.7299037,1.0739549,873.0,2.807074,40.2,-122.17,0.791
2.7614,18.0,3.4558058,1.0017331,3031.0,5.253033,33.71,-117.99,2.375
5.6739,14.0,7.896272,1.063209,2085.0,3.3792543,36.82,-119.64,1.738
3.9792,16.0,5.838074,0.99343544,1536.0,3.3610504,36.81,-119.68,0.889
3.5,10.0,5.9299555,1.1341282,1834.0,2.733234,35.55,-120.7,1.721
6.9113,17.0,7.484536,0.96907216,630.0,3.2474227,33.9,-117.86,2.852
1.4464,35.0,4.2318106,1.1015228,1182.0,2.0,34.07,-117.65,1.132
3.86,36.0,5.7423077,0.99230766,899.0,3.4576924,34.58,-118.06,1.093
6.777,23.0,8.10396,1.1435643,1480.0,2.4422443,36.58,-121.94,5.0
2.6382,25.0,6.0965095,1.1314168,1745.0,3.5831623,38.48,-121.47,0.762
3.9156,23.0,5.4731073,1.1364542,2873.0,2.8615537,33.85,-118.03,2.241
7.0549,52.0,6.785714,0.9514286,813.0,2.3228571,37.82,-122.21,3.314
5.8322,14.0,5.689849,1.051282,8117.0,2.8510714,37.57,-122.01,2.818
3.4107,29.0,4.256757,0.9797297,378.0,2.554054,34.13,-117.86,1.708
4.4375,26.0,6.442724,1.0495356,906.0,2.8049536,38.45,-122.66,2.935
3.5625,34.0,3.9481866,0.9430052,611.0,3.1658032,37.38,-121.84,2.018
3.9336,15.0,5.5531917,1.0687398,2039.0,3.3371522,34.04,-117.65,1.51
3.1563,22.0,8.42069,2.151724,1301.0,4.486207,36.85,-121.91,3.0
2.4861,15.0,5.4679246,1.045283,649.0,2.4490566,36.94,-119.7,0.863
3.0903,42.0,3.4307692,0.91384614,1412.0,4.3446155,33.94,-118.22,1.535
3.1551,16.0,3.789916,1.114846,1211.0,3.3921568,34.17,-118.3,2.05
5.4635,37.0,5.810811,1.011583,798.0,3.0810812,34.06,-117.93,2.021
4.8088,32.0,5.2855463,1.012926,1818.0,2.1363103,37.9,-122.05,3.212
4.775,52.0,4.151786,1.2834822,679.0,1.515625,37.8,-122.4,5.00001
3.425,28.0,5.421212,1.0666667,1347.0,4.081818,33.86,-118.07,1.897
4.9808,28.0,5.527197,1.0041841,652.0,2.7280335,36.99,-122.01,2.631
5.7528,34.0,4.623377,0.85714287,757.0,3.2770562,33.91,-118.32,1.805
1.9375,41.0,5.609137,1.3045685,816.0,4.142132,34.11,-117.31,0.641
7.8383,28.0,6.5593805,1.0068847,1795.0,3.089501,37.31,-122.0,3.727
1.2157,36.0,5.0245748,1.1833649,1490.0,2.8166351,35.36,-119.01,0.57
5.9113,37.0,6.4387465,1.0085471,809.0,2.3048432,32.73,-117.24,3.883
2.9541,15.0,5.5203705,1.1574074,1694.0,3.137037,34.71,-117.76,1.067
2.52,37.0,4.251623,1.1071428,1152.0,1.8701298,37.88,-122.27,2.778
2.3464,11.0,3.4922118,1.088785,1203.0,1.8738317,38.35,-122.71,1.042
1.75,50.0,4.0963855,0.8915663,235.0,2.8313253,40.81,-124.15,0.675
7.0813,30.0,6.096774,1.0860215,1197.0,3.217742,37.3,-122.08,4.853
2.3475,34.0,5.2743764,1.0680273,1356.0,3.0748298,37.93,-122.33,0.903
7.672,42.0,5.958525,0.9861751,459.0,2.1152074,34.15,-118.43,4.676
3.7804,27.0,5.7724667,0.957935,1580.0,3.0210326,34.69,-118.12,1.135
3.6171,22.0,4.0728407,1.0603538,3303.0,1.7185224,34.16,-118.45,3.183
4.0023,33.0,5.1569443,0.99722224,2106.0,2.925,34.13,-117.88,1.855
1.875,26.0,5.0777025,1.1587838,699.0,2.3614864,39.77,-121.6,0.84
3.0354,23.0,4.327217,1.0076452,1554.0,2.3761468,37.96,-121.34,1.137
3.8456,27.0,5.6271706,1.0817161,2591.0,2.646578,34.43,-119.66,5.00001
5.3015,40.0,6.696296,1.1185185,746.0,2.762963,37.71,-122.07,2.549
3.7316,13.0,5.5087013,1.0468541,2903.0,3.8862114,36.85,-121.38,1.924
5.0294,27.0,6.4278846,1.0072116,1176.0,2.8269231,34.44,-119.8,2.802
4.1856,19.0,6.095465,1.0572792,1301.0,3.105012,36.08,-119.06,0.721
4.375,16.0,4.909091,0.8181818,54.0,2.4545455,37.91,-120.32,1.0
3.7109,40.0,5.430939,1.0801105,1120.0,3.0939226,34.04,-118.14,1.988
3.95,45.0,4.5210085,0.89495796,781.0,3.2815125,33.95,-118.35,1.64
3.535,31.0,5.254237,1.1186441,719.0,3.04661,37.54,-122.02,2.103
4.6923,37.0,5.2714934,0.95022625,627.0,2.837104,33.95,-118.01,1.81
4.1026,25.0,3.5496829,0.9936575,1314.0,2.7780128,33.65,-117.92,2.115
8.4331,36.0,6.266871,1.4325154,606.0,1.8588957,34.02,-118.6,5.00001
3.1563,37.0,5.109966,1.0171821,863.0,2.9656358,33.94,-118.32,1.862
1.9929,30.0,2.6827226,1.0041885,3909.0,4.0931935,33.98,-118.23,1.506
4.3603,16.0,5.8193717,1.1884817,628.0,1.6439791,33.49,-117.65,2.488
4.1467,52.0,5.689189,1.043919,675.0,2.2804055,38.55,-121.48,1.75
2.5387,20.0,4.185263,1.0031579,3866.0,4.0694737,37.0,-121.56,1.601
3.3036,36.0,5.6896553,0.90421456,623.0,2.3869731,34.08,-117.66,1.41
4.2292,33.0,5.841912,1.1286764,853.0,3.1360295,34.99,-117.68,0.644
5.7239,26.0,6.4014335,1.0967742,771.0,2.7634408,37.61,-121.62,4.306
4.5781,9.0,6.085791,1.0630027,2235.0,2.9959786,33.18,-117.26,2.256
4.9489,45.0,6.10274,1.0616438,384.0,2.630137,37.75,-122.24,2.471
1.8584,44.0,3.4378479,1.0315399,2090.0,3.877551,33.74,-118.28,2.481
4.3958,10.0,6.154506,1.0139484,3528.0,3.7854078,34.09,-117.39,1.307
9.0519,21.0,7.4322915,1.0104166,1443.0,2.5052083,33.6,-117.84,5.00001
2.9559,13.0,3.972492,1.0695792,1975.0,3.195793,33.9,-118.3,1.736
2.8194,33.0,6.275401,1.2326204,1482.0,3.9625669,34.71,-118.14,0.93
1.125,18.0,5.4875,1.38125,837.0,2.615625,38.64,-121.44,0.705
3.7543,42.0,4.184874,1.0084034,548.0,4.605042,34.02,-118.2,1.266
4.3836,18.0,6.0575757,1.1272727,2071.0,3.137879,38.71,-121.31,1.02
1.6716,32.0,4.577966,1.2,1880.0,3.1864407,33.94,-118.29,1.238
5.0754,44.0,5.196281,1.053719,967.0,1.9979339,34.15,-118.4,3.745
4.1379,3.0,4.4580293,1.1624087,1033.0,1.8850365,33.56,-117.7,1.833
2.2097,50.0,3.1111112,1.0333333,488.0,1.8074074,34.42,-119.71,2.583
3.9167,52.0,5.376147,0.98623854,489.0,2.2431192,37.88,-122.28,2.356
6.235,44.0,5.92973,1.0054054,513.0,2.772973,33.97,-118.39,3.614
1.6118,39.0,3.730435,1.0231884,1171.0,3.394203,34.09,-118.21,1.385
3.6667,32.0,7.016667,0.98888886,508.0,2.8222222,33.9,-117.4,3.141
1.5281,29.0,5.0958905,1.0958904,1137.0,3.1150684,39.29,-121.68,0.616
3.5096,31.0,5.6405597,1.0,2585.0,3.6153846,32.61,-117.05,1.399
1.6548,35.0,4.879418,1.0935551,1676.0,3.4844074,36.75,-119.76,0.494
3.2404,36.0,4.9558825,1.0147059,223.0,3.2794118,36.97,-122.03,2.25
6.4994,18.0,6.634081,1.0197309,3126.0,2.8035874,37.66,-121.9,3.23
4.8068,44.0,4.554817,0.87375414,589.0,1.9568106,37.47,-122.19,3.123
6.2384,25.0,6.656201,1.0094192,1885.0,2.9591837,34.03,-117.8,2.476
4.625,35.0,6.035484,1.1032258,1055.0,3.403226,37.73,-122.42,2.793
3.968,8.0,5.9954023,0.98390806,1530.0,3.5172415,37.37,-120.62,1.021
4.6635,28.0,6.4172664,1.118705,735.0,2.643885,37.64,-122.1,2.067
3.0208,32.0,5.151515,1.0858586,421.0,2.1262627,41.06,-124.14,1.434
3.2067,36.0,5.641369,1.1101191,2258.0,3.360119,34.0,-117.51,1.247
3.6375,19.0,5.9863944,1.1265306,1901.0,2.5863945,33.21,-117.22,1.988
3.7167,48.0,4.381877,0.9029126,716.0,2.317152,34.06,-118.35,3.85
1.8242,37.0,5.273077,1.2269231,640.0,2.4615386,40.78,-124.19,0.7
3.0298,46.0,4.56,1.0044445,749.0,3.328889,37.74,-122.17,1.076
5.5121,16.0,6.051613,1.0430107,1305.0,2.8064516,37.26,-121.86,2.241
4.81,15.0,6.540594,1.0138614,1687.0,3.340594,36.82,-119.69,0.936
1.85,27.0,4.0397553,1.0336392,779.0,2.382263,39.4,-123.35,0.718
4.0,49.0,4.361702,0.9787234,1008.0,3.06383,37.73,-122.43,2.64
5.1643,10.0,5.075716,1.0832196,3571.0,2.43588,37.49,-121.92,1.931
2.8333,52.0,5.473318,1.3712296,1100.0,2.5522041,33.34,-118.33,4.147
3.5161,24.0,4.501441,1.2708933,696.0,2.0057638,33.63,-117.92,2.364
5.3806,17.0,7.697061,1.1974379,3409.0,2.5689526,34.24,-119.09,4.521
12.7296,27.0,7.992604,1.0650887,3511.0,2.5968935,34.11,-118.43,5.00001
3.5882,21.0,13.568627,2.7882352,658.0,2.5803921,33.71,-116.68,1.611
2.5813,30.0,3.5719237,1.0935875,1007.0,1.745234,32.8,-117.25,2.531
4.5746,13.0,5.5008197,1.0295082,3683.0,3.0188525,32.97,-117.04,1.757
2.79,41.0,4.067485,1.0511247,1015.0,2.0756645,32.75,-117.24,2.26
3.6687,48.0,5.8428574,1.2285714,148.0,2.1142857,37.74,-122.41,3.35
2.7266,28.0,6.131915,1.2567376,1650.0,2.3404255,35.36,-120.83,2.668
8.5325,14.0,7.973585,0.96603775,842.0,3.1773584,35.35,-119.09,2.241
2.1903,34.0,2.6158357,0.9325513,1443.0,4.2316713,33.94,-118.21,1.625
4.2415,52.0,5.695122,0.9634146,947.0,2.887195,34.07,-117.74,1.401
1.4034,52.0,3.5671642,1.1011609,1146.0,1.9004976,38.58,-121.49,0.903
3.8398,32.0,6.2304688,1.109375,1614.0,3.1523438,34.12,-117.37,1.182
2.4028,17.0,31.777779,9.703704,47.0,1.7407408,40.06,-121.54,0.675
1.6033,14.0,4.641791,1.1014925,493.0,1.4716418,38.35,-122.7,0.675
3.4912,7.0,8.355309,1.5547945,2933.0,2.51113,34.85,-117.46,1.577
2.5156,20.0,5.4913793,1.1178161,1241.0,3.566092,36.21,-119.08,0.593
2.325,35.0,6.9083557,1.4285715,861.0,2.3207548,36.94,-118.31,0.806
3.2115,37.0,4.136519,1.0375427,1076.0,3.672355,33.78,-118.28,1.601
5.6356,33.0,5.6608996,0.9515571,866.0,2.9965398,34.22,-118.62,2.413
1.6277,48.0,3.676737,1.123867,1281.0,1.9350454,38.58,-121.48,1.406
4.9091,9.0,5.243243,1.1372142,1591.0,3.3076923,37.39,-121.87,2.597
4.375,33.0,5.4398975,1.0588236,1056.0,2.7007673,34.18,-118.44,2.861
3.0833,34.0,3.0764332,0.83439493,291.0,1.8535032,37.52,-122.26,2.563
3.0817,20.0,5.437037,1.0481482,721.0,2.6703703,37.25,-118.45,1.188
3.0673,38.0,4.8810196,1.1161473,711.0,2.0141642,37.73,-122.14,2.184
10.0914,52.0,7.546392,0.96219933,668.0,2.2955327,37.79,-122.45,5.00001
7.7799,25.0,7.0459366,1.0141343,704.0,2.4876325,37.34,-122.04,4.473
2.5625,23.0,5.498901,1.0571429,1443.0,3.1714287,39.72,-122.04,0.7
4.3598,5.0,4.694034,1.0684181,5006.0,2.740011,32.89,-117.16,1.891
3.0375,26.0,6.14791,1.0900321,1002.0,3.221865,36.37,-119.55,1.263
3.9417,33.0,6.1948957,1.0092808,1256.0,2.914153,32.8,-117.14,1.798
2.4234,32.0,5.0543656,1.0345963,1897.0,3.125206,35.33,-119.01,0.637
3.01,21.0,10.553648,2.253219,584.0,2.5064378,39.25,-120.06,1.635
4.4609,15.0,6.1294966,1.1079136,2007.0,2.8877697,34.12,-117.77,2.3
1.0714,31.0,3.0123239,1.2165493,1092.0,1.9225352,33.77,-118.19,1.5
1.976,15.0,5.1908517,1.2176657,1738.0,2.741325,36.76,-119.83,0.673
1.875,15.0,4.2941175,1.1490196,1570.0,3.0784314,36.61,-121.84,1.223
3.0723,6.0,6.2698584,1.2132753,2551.0,2.7758434,34.98,-120.47,1.373
4.7333,33.0,6.796143,1.0385675,1052.0,2.8980715,34.28,-119.22,2.575
2.3036,35.0,4.620513,1.176923,1009.0,2.5871794,37.79,-122.2,1.26
2.8173,32.0,5.327068,1.0626566,2494.0,3.1253133,33.95,-117.42,1.108
3.9167,28.0,3.675768,0.98293513,1377.0,4.699659,34.26,-118.44,1.539
3.1607,37.0,4.5239854,0.9409594,1068.0,3.9409595,33.98,-118.09,1.722
2.2375,20.0,3.047619,1.0,59.0,2.8095238,37.58,-122.51,4.5
2.9293,52.0,4.0849056,1.0943396,1067.0,2.0132074,37.78,-122.46,3.5
1.5208,28.0,4.4259543,1.1526718,2406.0,3.6732824,34.1,-117.31,0.695
5.0155,19.0,5.4682083,1.0520232,474.0,2.7398844,38.68,-121.47,0.973
2.1875,34.0,4.4539475,1.0690789,922.0,3.0328948,35.35,-119.01,0.58
1.7841,34.0,5.171348,0.994382,1019.0,2.8623595,37.03,-120.61,0.675
2.3946,35.0,3.6369636,1.0165017,688.0,2.270627,37.9,-122.3,1.417
4.5,17.0,5.262517,1.0121787,2415.0,3.2679296,34.23,-119.19,2.343
4.5913,52.0,3.9833984,1.0859375,1466.0,1.4316406,37.8,-122.42,5.00001
8.72,44.0,6.16318,1.0460252,668.0,2.794979,34.2,-118.18,4.159
2.8649,17.0,4.223301,1.0800971,1158.0,2.8106797,33.89,-117.97,1.375
3.0938,31.0,3.6676557,0.97626114,1486.0,4.4094954,33.98,-118.17,1.554
3.9934,35.0,5.399254,1.0149254,1224.0,4.567164,34.12,-117.89,1.419
4.1861,52.0,4.173554,1.0082644,573.0,2.3677685,33.99,-118.45,3.632
10.0,19.0,5.505593,1.1655481,777.0,1.738255,33.97,-118.46,5.00001
2.2024,20.0,5.2777777,1.037037,304.0,2.8148148,37.76,-120.9,1.563
5.4288,6.0,6.50625,1.03125,1513.0,3.1520834,32.83,-116.83,1.678
1.7083,44.0,6.8393574,1.437751,789.0,3.1686747,33.99,-118.31,1.0
2.3889,6.0,6.3166146,1.2946708,992.0,3.1097178,36.09,-119.57,0.532
